所属概念,market_code,所属概念数量,code,股票代码
算力租赁;云计算;华为昇腾;国产操作系统;数据安全;华为鲲鹏;网络安全;信创;东数西算(算力);鸿蒙概念;智慧城市;数据中心(AIDC);AI应用;数字孪生;DeepSeek概念;液冷服务器;人工智能;物联网;华为概念;智能医疗;智能电网;军民融合;军工;工业互联网;专精特新;5G;机器人概念;新型工业化;创投;光伏概念;融资融券;沪股通,17,32,603496,603496.SH
血氧仪;天津自贸区;AI应用;智能医疗;智能穿戴;小米概念;创投;人民币贬值受益;医疗器械概念;跨境电商;流感;京津冀一体化;养老概念;深股通;融资融券,33,15,002432,002432.SZ
稀土永磁;芯片概念;固态电池;小金属概念;宁德时代概念;专精特新;一体化压铸;核电;海峡两岸;氢能源;沪股通;融资融券,17,12,603663,603663.SH
中芯国际概念;液冷服务器;超导概念;数据中心(AIDC);可控核聚变;3D打印;储能;核电;新能源汽车;军工;海峡两岸;固态电池;机器人概念;海工装备;燃料电池;人工智能;氢能源;空气能热泵;碳中和;水利;创投;雅下水电概念;智能物流;中俄贸易概念;国企改革;体育产业;融资融券;冷链物流;宠物经济;天然气;冰雪产业;深股通,33,32,000811,000811.SZ
低空经济;飞行汽车(eVTOL);一体化压铸;特斯拉概念;人形机器人;新能源汽车;宁德时代概念;沪股通;中芯国际概念;融资融券,17,10,603358,603358.SH
CRO概念;细胞免疫治疗;创新药;生物疫苗;基因测序;智能医疗;专精特新;2025年报预增;融资融券;沪股通,17,10,603127,603127.SH
航空发动机;大飞机;无人机;军工;低空经济;创新药;深股通;融资融券,33,8,000534,000534.SZ
5G;液冷服务器;高压快充;数据中心(AIDC);比亚迪概念;新能源汽车;华为概念;充电桩;储能;军工;固态电池;机器人概念;低空经济;沪股通;新疆振兴;融资融券,17,16,603989,603989.SH
毫米波雷达;专精特新;卫星导航;比亚迪概念;人形机器人;新能源汽车;无人驾驶;特斯拉概念;机器人概念;长三角一体化;智能家居;沪股通,17,12,603211,603211.SH
C2M概念;跨境电商;体育产业,17,3,603001,603001.SH
第三代半导体;芯片概念;液冷服务器;专精特新;数据中心(AIDC);光伏概念;空气能热泵;燃料电池;海峡两岸;工业互联网;氢能源;雄安新区;冷链物流;深股通;融资融券,33,15,002158,002158.SZ
禽流感;猴痘概念;减肥药;幽门螺杆菌概念;肝炎概念;流感;辅助生殖;仿制药一致性评价;创新药;医药电商;眼科医疗;维生素;NMN概念;智能医疗;医疗器械概念;养老概念;数字经济;粤港澳大湾区;深股通;融资融券,33,20,002317,002317.SZ
