market_code,code,所属概念数量,所属概念,股票代码
33,300967,6,养鸡;乡村振兴;西部大开发;绿色电力;2025年报预增;融资融券,300967.SZ
33,000911,5,土地流转;冷链物流;国企改革;西部大开发;智能物流,000911.SZ
151,920263,21,金属回收;小金属概念;数字孪生;工业互联网;京津冀一体化;天然气;农业种植;稀土永磁;机器人概念;水泥概念;专精特新;碳交易;碳中和;人工智能;AIGC概念;人形机器人;页岩气;新疆振兴;融资融券;土壤修复;污水处理,920263.BJ
151,920204,6,专精特新;PET铜箔;光伏概念;融资融券;锂电池概念;核污染防治,920204.BJ
17,603663,13,芯片概念;宁德时代概念;固态电池;稀土永磁;专精特新;小金属概念;一体化压铸;氢能源;核电;回购增持再贷款概念;海峡两岸;沪股通;融资融券,603663.SH
17,605117,9,光伏概念;储能;一带一路;人民币贬值受益;同花顺出海50;共同富裕示范区;家用电器;融资融券;沪股通,605117.SH
33,301626,8,宁德时代概念;液冷服务器;消费电子概念;汽车电子;汽车热管理;华为概念;深股通;融资融券,301626.SZ
33,300350,17,数字经济;时空大数据;数据要素;军工;智慧城市;跨境电商;卫星导航;创投;物联网;碳中和;粤港澳大湾区;一带一路;智能物流;中俄贸易概念;航运概念;广东自贸区;统一大市场,300350.SZ
17,688048,14,共封装光学(CPO);光纤概念;第三代半导体;可控核聚变;汽车芯片;芯片概念;数据中心;商业航天;华为概念;专精特新;无人驾驶;医美概念;沪股通;融资融券,688048.SH
33,300055,10,医疗废物处理;锂电池概念;雄安新区;固废处理;盐湖提锂;煤化工概念;污水处理;PPP概念;深股通;融资融券,300055.SZ
33,300317,11,光伏建筑一体化;光伏概念;虚拟电厂;风电;储能;绿色电力;锂电池概念;粤港澳大湾区;国企改革;OLED;华为概念,300317.SZ
17,601969,20,海南自贸区;金属铜;小金属概念;自由贸易港;黄金概念;金属钴;氟化工概念;锂电池概念;固废处理;天然气;参股银行;土壤修复;乡村振兴;碳中和;旅游概念;回购增持再贷款概念;参股保险;创投;沪股通;融资融券,601969.SH
