股票代码,code,所属概念数量,market_code,所属概念
301232.SZ,301232,11,33,商业航天;航空发动机;大飞机;无人机;低空经济;核电;工业互联网;机器人概念;专精特新;风电;融资融券
688726.SH,688726,10,17,钙钛矿电池;BC电池;TOPCON电池;光伏概念;专精特新;芯片概念;第三代半导体;比亚迪概念;沪股通;融资融券
300440.SZ,300440,14,33,职业教育;智能物流;AI智能体;人工智能;数字孪生;高铁;西部大开发;机器人概念;虚拟现实;专精特新;储能;军工;无人驾驶;深股通
605086.SH,605086,6,17,海峡两岸;国企改革;创投;锂电池概念;沪股通;股权转让(并购重组)
002271.SZ,002271,28,33,房屋检测;装配式建筑;建筑节能;地下管网;新型城镇化;水利;雄安新区;乡村振兴;同花顺中特估100;高股息精选;海工装备;冰雪产业;一带一路;核电;高铁;绿色电力;光伏建筑一体化;回购增持再贷款概念;数字经济;抽水蓄能;石墨烯;光伏概念;充电桩;储能;同花顺漂亮100;数据中心;深股通;融资融券
601698.SH,601698,12,17,商业航天;6G概念;同花顺新质50;军工;低空经济;央企国企改革;中字头股票;国企改革;一带一路;同花顺中特估100;沪股通;融资融券
300819.SZ,300819,5,33,机器人概念;体育产业;氢能源;固态电池;人民币贬值受益
002663.SZ,002663,12,33,新型城镇化;PPP概念;横琴新区;污水处理;养老概念;网红经济;文化传媒概念;粤港澳大湾区;互联网金融;石墨烯;区块链;抖音概念(字节概念)
688028.SH,688028,9,17,培育钻石;工业母机;人形机器人;新能源汽车;OLED;芯片概念;核电;沪股通;融资融券
688680.SH,688680,6,17,BC电池;钙钛矿电池;光伏概念;POE胶膜;新能源汽车;融资融券
688003.SH,688003,25,17,苹果概念;PCB概念;先进封装;低空经济;英伟达概念;消费电子概念;新能源汽车;人形机器人;芯片概念;专精特新;小米概念;车联网(车路协同);无人驾驶;机器视觉;人工智能;高端装备;机器人概念;百度概念;新型工业化;智能物流;第三代半导体;DeepSeek概念;光伏概念;沪股通;融资融券
300852.SZ,300852,14,33,共封装光学(CPO);PCB概念;汽车电子;毫米波雷达;人形机器人;5G;比亚迪概念;数据中心;机器人概念;无人机;粤港澳大湾区;人民币贬值受益;一带一路;深股通
688020.SH,688020,11,17,先进封装;PCB概念;PET铜箔;华为手机;5G;消费电子概念;稀土永磁;华为概念;小米概念;专精特新;融资融券
002853.SZ,002853,6,33,网红经济;C2M概念;粤港澳大湾区;物联网;智能家居;股权转让(并购重组)
603619.SH,603619,9,17,俄乌冲突概念;天然气;新疆振兴;一带一路;回购增持再贷款概念;海工装备;机器人概念;沪股通;融资融券
300098.SZ,300098,30,33,车联网(车路协同);数据安全;鸿蒙概念;百度概念;人脸识别;东数西算(算力);卫星导航;安防;无人驾驶;智慧城市;腾讯概念;智慧灯杆;虚拟现实;物联网;华为概念;商业航天;5G;人工智能;汽车芯片;数据中心;机器人概念;汽车电子;比亚迪概念;长安汽车概念;高铁;智能电网;PPP概念;深股通;AI应用;融资融券
002579.SZ,002579,47,33,MicroLED概念;MiniLED;毫米波雷达;PCB概念;AI PC;柔性屏(折叠屏);汽车电子;5G;WiFi 6;AI眼镜;消费电子概念;智能音箱;先进封装;共封装光学(CPO);芯片概念;AI手机;OLED;智能穿戴;无人机;小米概念;无线耳机;卫星导航;无人驾驶;6G概念;商业航天;低空经济;军工;军民融合;物联网;存储芯片;数据中心;新型烟草(电子烟);机器人概念;比亚迪概念;人形机器人;新能源汽车;粤港澳大湾区;工业互联网;海峡两岸;数字经济;储能;创投;广东自贸区;医疗器械概念;养老概念;融资融券;深股通
002916.SZ,002916,17,33,国家大基金持股;存储芯片;PCB概念;先进封装;富士康概念;苹果概念;芯片概念;5G;汽车电子;数据中心;深股通;新能源汽车;华为概念;粤港澳大湾区;央企国企改革;国企改革;融资融券
300228.SZ,300228,9,33,商业航天;海工装备;氢能源;燃料电池;中俄贸易概念;天然气;储能;芯片概念;页岩气
300935.SZ,300935,18,33,AI应用;房屋检测;装配式建筑;新型城镇化;建筑节能;光伏概念;职业教育;一带一路;风电;数字孪生;空间计算;人工智能;数据要素;数据中心;DeepSeek概念;信创;AI智能体;融资融券
300777.SZ,300777,9,33,商业航天;军民融合;碳纤维;军工;无人机;专精特新;人形机器人;融资融券;深股通
600685.SH,600685,14,17,中船系;国产航母;军工;2025年报预增;海工装备;央企国企改革;工业互联网;风电;国企改革;数据中心;同花顺中特估100;沪股通;中字头股票;融资融券
600929.SH,600929,9,17,国企改革;回购增持再贷款概念;钠离子电池;储能;固态电池;AI智能体;消费电子概念;沪股通;融资融券
