code,股票代码,所属概念,所属概念数量,market_code
301292,301292.SZ,钠离子电池;固态电池;锂电池概念;比亚迪概念;新能源汽车;专精特新;深股通;融资融券,8.0,33
300438,300438.SZ,钠离子电池;固态电池;两轮车;锂电池概念;深股通;新型烟草(电子烟);虚拟电厂;石墨烯;储能;燃料电池;长安汽车概念;充电桩;粤港澳大湾区;新能源汽车;机器人概念;无线耳机;低空经济;独角兽概念;小米概念;无人机;军工;消费电子概念;融资融券,23.0,33
300014,300014.SZ,钠离子电池;固态电池;两轮车;锂电池概念;新型烟草(电子烟);储能;无线耳机;新能源汽车;燃料电池;长安汽车概念;人形机器人;小米概念;脑机接口;氢能源;盐湖提锂;机器人概念;粤港澳大湾区;智能电网;同花顺漂亮100;飞行汽车(eVTOL);华为概念;安防;低空经济;无人机;深股通;融资融券;商业航天,27.0,33
000967,000967.SZ,新能源汽车;污水处理;固废处理;储能;垃圾分类;核电;充电桩;机器人概念;回购增持再贷款概念;特色小镇;无人驾驶;PPP概念;智能电网;物联网;华为概念;智慧城市;数据要素;云计算;深股通;融资融券,20.0,33
002145,002145.SZ,钛白粉概念;磷化工;钒电池;动力电池回收;回购增持再贷款概念;西部大开发;锂电池概念;宁德时代概念;深股通;融资融券,10.0,33
000703,000703.SZ,可降解塑料;回购增持再贷款概念;一带一路;参股银行;互联网金融;西部大开发;阿里巴巴概念;融资融券;深股通,9.0,33
920627,920627.BJ,人形机器人;锂电池概念;融资融券;消费电子概念;新型烟草(电子烟);固态电池;储能;人民币贬值受益;两轮车,9.0,151
001258,001258.SZ,光热发电;绿色电力;风电;充电桩;储能;新疆振兴;国企改革;西部大开发;2025年报预增;碳中和;深股通,11.0,33
000830,000830.SZ,煤化工概念;化肥;磷化工;天然气;生态农业;消毒剂;氟化工概念;有机硅概念;央企国企改革;国企改革;氢能源;乡村振兴;深股通;融资融券,14.0,33
002648,002648.SZ,环氧丙烷;丙烯酸;煤化工概念;POE胶膜;氢能源;长三角一体化;锂电池概念;燃料电池;三胎概念;互联网金融;融资融券;深股通,12.0,33
301396,301396.SZ,算力租赁;云计算;财税数字化;东数西算(算力);多模态AI;ChatGPT概念;腾讯概念;AI智能体;信创;智慧政务;MR(混合现实);数据中心;数据要素;空间计算;华为概念;DeepSeek概念;人工智能;安防;数字经济;智慧城市;物联网;职业教育;AI应用;智能医疗;专精特新;智能物流;乡村振兴;旅游概念;新型城镇化;深股通;融资融券,31.0,33
001267,001267.SZ,共封装光学(CPO);铜缆高速连接;土壤修复;污水处理;新型城镇化;乡村振兴;深股通;股权转让(并购重组),8.0,33
920870,920870.BJ,高端装备;风电;融资融券;新型工业化;工业母机;专精特新,6.0,151
003041,003041.SZ,共同富裕示范区;人民币贬值受益;一带一路;2025年报预增;股权转让(并购重组),5.0,33
002536,002536.SZ,液冷服务器;芯片概念;汽车电子;汽车热管理;数据中心;小米汽车;新能源汽车;特斯拉概念;充电桩;无人机;储能;燃料电池;机器人概念;华为概念;长安汽车概念;人民币贬值受益;海峡两岸;低空经济;一带一路;深股通;融资融券,21.0,33
000601,000601.SZ,生物质能发电;绿色电力;抽水蓄能;充电桩;储能;回购增持再贷款概念;长安汽车概念;新能源汽车;数据中心;比亚迪概念;减速器;深股通;东数西算(算力);融资融券,14.0,33
300323,300323.SZ,MicroLED概念;MiniLED;AI眼镜;汽车电子;智能穿戴;华为概念;消费电子概念;第三代半导体;虚拟现实;芯片概念;国企改革;深股通;融资融券,13.0,33
000973,000973.SZ,固态电池;宁德时代概念;锂电池概念;比亚迪概念;OLED;粤港澳大湾区;国企改革;AI眼镜;特高压;航运概念;融资融券;证金持股;深股通;股权转让(并购重组),14.0,33
600268,600268.SH,特高压;抽水蓄能;智能电网;虚拟电厂;超超临界发电;风电;核电;充电桩;储能;雅下水电概念;绿色电力;高端装备;高铁;央企国企改革;水利;商业航天;机器人概念;华为概念;新疆振兴;国企改革;雄安新区;人工智能;DeepSeek概念;数据要素;AI智能体;沪股通;融资融券,27.0,17
601869,601869.SH,光纤概念;共封装光学(CPO);铜缆高速连接;特高压;第三代半导体;风电;智能电网;海工装备;5G;太赫兹;芯片概念;新能源汽车;一带一路;沪股通;专精特新;人形机器人;量子科技;机器人概念;工业互联网;创投;抖音概念(字节概念);融资融券,22.0,17
920405,920405.BJ,工业互联网;融资融券;数据中心;固态电池;储能,5.0,151
301018,301018.SZ,液冷服务器;高压快充;数据中心;5G;抽水蓄能;可控核聚变;核电;成飞概念;2025年报预增;储能;新能源汽车;军工;空气能热泵;华为概念;锂电池概念;阿里巴巴概念;腾讯概念;抖音概念(字节概念);百度概念;碳中和;DeepSeek概念;深股通;融资融券,23.0,33
300390,300390.SZ,固态电池;宁德时代概念;锂电池概念;小金属概念;储能;新能源汽车;华为概念;医疗器械概念;中芯国际概念;存储芯片;芯片概念;融资融券;深股通,13.0,33
002015,002015.SZ,虚拟电厂;华为数字能源;碳交易;碳中和;抽水蓄能;智能电网;换电概念;生物质能发电;绿色电力;光伏概念;充电桩;储能;风电;高压快充;水利;数据中心;算力租赁;长三角一体化;锂电池概念;蚂蚁集团概念;东数西算(算力);数字经济;动力电池回收;华为概念;区块链;新能源汽车;百度概念;宁德时代概念;英伟达概念;融资融券;深股通,31.0,33
688179,688179.SH,光刻胶;专精特新;合成生物;猴痘概念;重组蛋白;融资融券,6.0,17
301349,301349.SZ,钠离子电池;固态电池;锂电池概念;高压快充;储能;专精特新;光伏概念;钒电池;碳纤维;光纤概念;融资融券,11.0,33
600426,600426.SH,煤化工概念;化肥;国企改革;沪股通;融资融券,5.0,17
002429,002429.SZ,MicroLED概念;MiniLED;AI应用;短剧游戏;WiFi 6;抖音概念(字节概念);阿里巴巴概念;AIGC概念;汽车芯片;5G;拼多多概念;第三代半导体;智能音箱;数据中心;鸿蒙概念;富士康概念;F5G概念;小米概念;共封装光学(CPO);芯片概念;消费电子概念;光纤概念;PCB概念;智能家居;粤港澳大湾区;人民币贬值受益;深圳国企改革;国企改革;深股通;融资融券,30.0,33
000683,000683.SZ,化肥;煤化工概念;碳中和;西部大开发;深股通;融资融券,6.0,33
300548,300548.SZ,F5G概念;共封装光学(CPO);光纤概念;铜缆高速连接;芯片概念;5G;数据中心;2025年报预增;专精特新;长三角一体化;华为概念;抖音概念(字节概念);机器人概念;融资融券;深股通,15.0,33
600866,600866.SH,代糖概念;玉米;合成生物;国企改革;沪股通;融资融券,6.0,17
301327,301327.SZ,BC电池;钠离子电池;固态电池;锂电池概念;光伏概念;光伏建筑一体化;储能;露营经济;特斯拉概念;人民币贬值受益;新能源汽车;机器人概念;智能电网;网红经济;深股通;融资融券,16.0,33
688779,688779.SH,钠离子电池;动力电池回收;锂电池概念;固态电池;宁德时代概念;高压快充;储能;央企国企改革;国企改革;无人机;飞行汽车(eVTOL);低空经济;融资融券;沪股通,14.0,17
301388,301388.SZ,充电桩;光伏概念;专精特新;物联网;传感器;融资融券,6.0,33
600486,600486.SH,草甘膦;乡村振兴;央企国企改革;国企改革;人民币贬值受益;同花顺出海50;沪股通;融资融券,8.0,17
300531,300531.SZ,数字货币;移动支付;电子身份证;人脸识别;区块链;跨境支付(CIPS);信创;智慧政务;鸿蒙概念;物联网;数字经济;数据安全;数据确权;数据要素;人工智能;华为概念;DeepSeek概念;机器视觉;工业互联网;智能音箱;机器人概念;粤港澳大湾区;智能物流;智能医疗;食品安全;拼多多概念;专精特新;消费电子概念;华为海思概念股;军工;芯片概念;智能电网;中俄贸易概念;深股通,34.0,33
688472,688472.SH,BC电池;TOPCON电池;钙钛矿电池;HJT电池;光伏概念;锂电池概念;储能;回购增持再贷款概念;一带一路;商业航天;人民币贬值受益;沪股通;融资融券,13.0,17
301358,301358.SZ,磷化工;动力电池回收;固态电池;宁德时代概念;锂电池概念;金属铜;比亚迪概念;2025年报预增;储能;新能源汽车;深股通;融资融券,12.0,33
300641,300641.SZ,锂电池概念;深股通;融资融券,3.0,33
601898,601898.SH,中字头股票;煤炭概念;煤化工概念;同花顺中特估100;化肥;证金持股;央企国企改革;沪股通;融资融券;国企改革;乡村振兴,11.0,17
001217,001217.SZ,染料;化肥;煤化工概念;光伏概念;航运概念,5.0,33
002001,002001.SZ,青蒿素;氟化工概念;维生素;合成生物;回购增持再贷款概念;人民币贬值受益;深股通;融资融券;商业航天,9.0,33
300437,300437.SZ,磷化工;消毒剂;土壤修复;碳中和;净水概念;新型城镇化;PPP概念;污水处理;工业互联网;融资融券,10.0,33
300615,300615.SZ,5G;新能源汽车;充电桩;工业母机,4.0,33
920077,920077.BJ,2025年报预增;风电;融资融券;碳纤维;国企改革;专精特新,6.0,151
301191,301191.SZ,F5G概念;WiFi 6;6G概念;5G;芯片概念;数据中心;网络安全;华为概念;小米概念;信创;车联网(车路协同);安防;汽车电子;智能座舱;创投;粤港澳大湾区;深股通;融资融券,18.0,33
300313,300313.SZ,乳业;ST板块;西部大开发,3.0,33
601568,601568.SH,水泥概念;煤化工概念;国企改革;西部大开发;绿色电力;氢能源;沪股通;融资融券,8.0,17
002631,002631.SZ,C2M概念;石墨烯;长三角一体化;工业互联网;核污染防治;柔性屏(折叠屏);智能家居;融资融券,8.0,33
002281,002281.SZ,F5G概念;共封装光学(CPO);光纤概念;液冷服务器;5G;数据中心;6G概念;东数西算(算力);芯片概念;量子科技;华为概念;抖音概念(字节概念);阿里巴巴概念;腾讯概念;百度概念;央企国企改革;国企改革;深股通;融资融券,19.0,33
002202,002202.SZ,商业航天;海工装备;人工智能;特高压;独角兽概念;风电;抽水蓄能;工业互联网;柔性直流输电;氢能源;储能;碳中和;创投;西部大开发;碳交易;绿色电力;污水处理;PPP概念;新疆振兴;煤化工概念;同花顺出海50;深股通;融资融券;东数西算(算力);智能电网,25.0,33
920036,920036.BJ,多模态AI;物联网;AI应用;AI智能体;新股与次新股;融资融券;人民币贬值受益,7.0,151
688097,688097.SH,共封装光学(CPO);富士康概念;苹果概念;华为手机;高端装备;芯片概念;5G;新型工业化;消费电子概念;无人机;汽车电子;MR(混合现实);人形机器人;AI眼镜;机器视觉;宁德时代概念;特斯拉概念;新能源汽车;光伏概念;换电概念;储能;智能穿戴;充电桩;低空经济;机器人概念;华为概念;工业互联网;固态电池;锂电池概念;一带一路;智能物流;沪股通;融资融券,33.0,17
600330,600330.SH,商业航天;PCB概念;第三代半导体;卫星导航;光伏概念;5G;军工;高端装备;毫米波雷达;无线充电;先进封装;储能;数据中心;量子科技;芯片概念;OLED;充电桩;新能源汽车;汽车电子;AI眼镜;锂电池概念;长三角一体化;智能穿戴;固废处理;创投;智能物流;乡村振兴;融资融券;沪股通,29.0,17
001301,001301.SZ,宁德时代概念;锂电池概念;石墨电极;储能;专精特新;回购增持再贷款概念;京津冀一体化;深股通,8.0,33
301071,301071.SZ,培育钻石;第三代半导体;芯片概念;海峡两岸;深股通;融资融券,6.0,33
301165,301165.SZ,共封装光学(CPO);中国AI 50;液冷服务器;WiFi 6;5G;6G概念;东数西算(算力);数据中心;云办公;抖音概念(字节概念);快手概念;国资云;腾讯概念;网络安全;阿里巴巴概念;信创;小米概念;百度概念;AI智能体;新型工业化;AIGC概念;蚂蚁集团概念;工业互联网;人工智能;智能医疗;数字经济;AI应用;一带一路;国企改革;深股通;融资融券,31.0,33
002440,002440.SZ,染料;氟化工概念;2025年报预增;深股通;融资融券,5.0,33
301293,301293.SZ,脑机接口;智能医疗;民营医院;深股通;融资融券,5.0,33
688639,688639.SH,合成生物;维生素;可降解塑料;同花顺新质50;融资融券;沪股通,6.0,17
600157,600157.SH,煤炭概念;煤化工概念;小金属概念;钒电池;超超临界发电;绿色电力;碳交易;页岩气;参股保险;核电;储能;融资融券;物联网;沪股通,14.0,17
600110,600110.SH,PET铜箔;PCB概念;固态电池;宁德时代概念;锂电池概念;军工;核电;无人机;比亚迪概念;特斯拉概念;储能;新能源汽车;粤港澳大湾区;绿色电力;融资融券;股权转让(并购重组);沪股通,17.0,17
300927,300927.SZ,草甘膦;丙烯酸;国企改革;股权转让(并购重组);融资融券,5.0,33
600032,600032.SH,绿色电力;抽水蓄能;风电;氢能源;国企改革;沪股通;融资融券,7.0,17
002756,002756.SZ,锂电池概念;特钢概念;核电;军工;互联网金融;融资融券;深股通,7.0,33
301636,301636.SZ,钙钛矿电池;光伏概念;注册制次新股;专精特新;新能源汽车;新股与次新股;融资融券,7.0,33
688084,688084.SH,军工;无人机;高端装备;机器人概念;沪股通;融资融券,6.0,17
600869,600869.SH,超导概念;可控核聚变;铜缆高速连接;光纤概念;海工装备;PET铜箔;核电;商业航天;芯片概念;光伏概念;高端装备;特高压;柔性直流输电;雅下水电概念;军工;风电;无人机;军民融合;液冷服务器;锂电池概念;智能电网;新能源汽车;储能;特斯拉概念;宁德时代概念;充电桩;固态电池;数据中心;机器人概念;低空经济;回购增持再贷款概念;人形机器人;华为概念;东数西算(算力);独角兽概念;西部大开发;钠离子电池;智慧城市;人工智能;参股银行;DeepSeek概念;阿里巴巴概念;沪股通;融资融券,44.0,17
