所属概念,所属概念数量,market_code,股票代码,code
无人驾驶;人形机器人;华为汽车;比亚迪概念;专精特新;无人机;机器人概念;高端装备;长安汽车概念;车联网(车路协同);宁德时代概念;新能源汽车;燃料电池;融资融券,14,17,688071.SH,688071
中国AI 50;国家大基金持股;5G;芯片概念;数据中心;网络安全;沪股通;融资融券,8,17,688702.SH,688702
露营经济;共同富裕示范区;三胎概念;跨境电商;体育产业;一带一路;智能家居;回购增持再贷款概念;人民币贬值受益;网红经济;IP经济(谷子经济);数字经济;华为概念;星闪概念;鸿蒙概念;NFT概念,16,33,002615.SZ,002615
航空发动机;大飞机;军工;无人机;低空经济;创新药;深股通;融资融券,8,33,000534.SZ,000534
PCB概念;华为手机;5G;消费电子概念;特高压;汽车电子;光伏概念;华为概念;风电;一带一路;工业互联网;绿色电力;数字经济;西部大开发;国企改革;深股通;融资融券,17,33,301526.SZ,301526
算力租赁;云计算;虚拟数字人;AIGC概念;多模态AI;华为鲲鹏;AI智能体;数据安全;东数西算(算力);网络安全;信创;元宇宙;在线教育;DeepSeek概念;数字经济;数据中心;人工智能;阿尔茨海默概念;液冷服务器;一带一路;深股通;融资融券;人民币贬值受益,23,33,300017.SZ,300017
汽车芯片;国家大基金持股;中芯国际概念;第三代半导体;芯片概念;专精特新;人形机器人;2025年报预增;无人机;机器人概念;数据中心;高压快充;充电桩;人工智能;DeepSeek概念;沪股通;融资融券,17,17,688508.SH,688508
固态电池;锂电池概念;储能;高端装备;氢能源;燃料电池;数据中心;比亚迪概念;新能源汽车;农机;汽车电子;同花顺出海50;无人驾驶;人民币贬值受益;智能物流;国企改革;车联网(车路协同);同花顺漂亮100;DeepSeek概念;AI智能体;深股通;融资融券;证金持股,23,33,000338.SZ,000338
智能穿戴;柔性屏(折叠屏);消费电子概念;储能;深股通;融资融券,6,33,301051.SZ,301051
新能源汽车;比亚迪概念;融资融券,3,33,301119.SZ,301119
页岩气;海工装备;同花顺出海50;核电;天然气;数据中心;高端装备;一带一路;锂电池概念;土壤修复;回购增持再贷款概念;中俄贸易概念;污水处理;动力电池回收;深股通;融资融券,16,33,002353.SZ,002353
BC电池;钙钛矿电池;TOPCON电池;光伏概念;第三代半导体;专精特新;芯片概念;比亚迪概念;沪股通;融资融券,10,17,688726.SH,688726
共封装光学(CPO);光纤概念;第三代半导体;可控核聚变;汽车芯片;芯片概念;数据中心;商业航天;专精特新;华为概念;无人驾驶;医美概念;沪股通;融资融券,14,17,688048.SH,688048
富士康概念;液冷服务器;第三代半导体;WiFi 6;数据中心;消费电子概念;华为概念;比亚迪概念;阿里巴巴概念;光伏概念;无人机;充电桩;海峡两岸;一带一路;智能家居;深股通;融资融券,17,33,300870.SZ,300870
共封装光学(CPO);光纤概念;富士康概念;芯片概念;消费电子概念;5G;MR(混合现实);比亚迪概念;数据中心;新型工业化;高端装备;华为概念;东数西算(算力);虚拟现实;粤港澳大湾区;华为昇腾;阿里巴巴概念;抖音概念(字节概念);股权转让(并购重组);深股通;融资融券,21,33,301486.SZ,301486
AIGC概念;AI智能体;华为鲲鹏;华为欧拉;云计算;数据要素;智慧政务;数据安全;信创;DeepSeek概念;人工智能;数字经济;互联网金融;智慧城市;数字孪生;华为概念;AI应用;军工;工业互联网;数据中心;专精特新;融资融券,22,17,688118.SH,688118
智能电网;风电;光伏概念;储能;海工装备;光伏建筑一体化;氢能源;数据中心;粤港澳大湾区;东数西算(算力);抖音概念(字节概念);深股通;融资融券,13,33,301291.SZ,301291
MCU芯片;汽车芯片;芯片概念;OLED;消费电子概念;智能穿戴;汽车电子;柔性屏(折叠屏);锂电池概念;无人机;智能家居;机器人概念;物联网;储能;家用电器;深股通;股权转让(并购重组);融资融券,18,33,300327.SZ,300327
富士康概念;液冷服务器;AI PC;苹果概念;华为手机;华为海思概念股;宁德时代概念;5G;AI眼镜;特斯拉概念;比亚迪概念;数据中心;汽车热管理;MR(混合现实);人形机器人;小米概念;新能源汽车;锂电池概念;2025三季报预增;储能;2025年报预增;光伏概念;石墨烯;华为汽车;一体化压铸;机器人概念;充电桩;无人机;华为概念;长安汽车概念;无人驾驶;虚拟现实;工业互联网;家用电器;粤港澳大湾区;一带一路;智能物流;物业管理;融资融券;深股通,40,33,300602.SZ,300602
PEEK材料;光纤概念;消费电子概念;新型烟草(电子烟);新能源汽车;机器人概念;专精特新;储能;家用电器;海峡两岸;福建自贸区;医疗器械概念;养老概念;宠物经济;三胎概念;深股通;融资融券,17,33,301196.SZ,301196
国家大基金持股;存储芯片;先进封装;汽车芯片;AI PC;AI手机;芯片概念;AI眼镜;2025年报预增;消费电子概念;智能穿戴;小米概念;专精特新;数据中心;机器人概念;华为概念;信创;阿里巴巴概念;沪股通;融资融券,20,17,688525.SH,688525
生物疫苗;肝炎概念;国企改革;合成生物;深股通,5,33,002880.SZ,002880
液冷服务器;数据中心;5G;东数西算(算力);算力租赁;华为概念;量子科技;阿里巴巴概念;腾讯概念;储能;智能电网;锂电池概念;核电;光伏概念;小红书概念;AI智能体;智慧政务;海工装备;无人驾驶;人工智能;DeepSeek概念;海峡两岸;数字经济;高铁;福建自贸区;氢能源;深股通;融资融券,28,33,002335.SZ,002335
共封装光学(CPO);光纤概念;5G;芯片概念;数据中心;量子科技;3D打印;商业航天;卫星导航;无人驾驶;海工装备;2025年报预增;2025三季报预增;粤港澳大湾区;横琴新区;一带一路;国企改革;股权转让(并购重组);深股通;融资融券,20,33,300620.SZ,300620
