code,所属概念,market_code,股票代码,所属概念数量
300348,数字货币;跨境支付(CIPS);移动支付;华为欧拉;财税数字化;华为鲲鹏;区块链;互联网金融;鸿蒙概念;信创;云计算;AI智能体;数据安全;数据要素;AIGC概念;阿里巴巴概念;腾讯概念;数字经济;智慧城市;DeepSeek概念;人工智能;华为概念;化债概念(AMC概念);粤港澳大湾区;AI应用;一带一路;融资融券;深股通,33,300348.SZ,28
300668,新型城镇化;ERP概念;数据确权;华为概念;AIGC概念;股权转让(并购重组),33,300668.SZ,6
301234,医疗器械概念;专精特新;人民币贬值受益;融资融券,33,301234.SZ,4
603091,可降解塑料;人民币贬值受益;跨境电商;乡村振兴;沪股通;融资融券,17,603091.SH,6
002918,创投;智能家居;数据中心;深股通,33,002918.SZ,4
600732,BC电池;TOPCON电池;光伏概念;光伏建筑一体化;风电;沪股通;融资融券,17,600732.SH,7
300315,AI应用;AIGC概念;手机游戏;文化传媒概念;网络游戏;抖音概念(字节概念);百度概念;职业教育;IP经济(谷子经济);人工智能;虚拟现实;英伟达概念;深股通;融资融券,33,300315.SZ,14
300480,先进封装;共封装光学(CPO);第三代半导体;芯片概念;工业母机;传感器;华为概念;专精特新;高端装备;物联网;工业互联网;机器人概念;一带一路;深股通,33,300480.SZ,14
300037,钠离子电池;固态电池;氟化工概念;宁德时代概念;锂电池概念;超级电容;特斯拉概念;OLED;比亚迪概念;新能源汽车;先进封装;液冷服务器;芯片概念;数据中心;深股通;2026一季报预增;融资融券,33,300037.SZ,17
688525,存储芯片;国家大基金持股;汽车芯片;先进封装;AI PC;AI手机;芯片概念;AI眼镜;消费电子概念;智能穿戴;2025年报预增;数据中心;小米概念;专精特新;华为概念;比亚迪概念;人形机器人;机器人概念;粤港澳大湾区;信创;阿里巴巴概念;沪股通;融资融券,17,688525.SH,23
688273,脑机接口;智能医疗;AI智能体;人工智能;DeepSeek概念;医美概念;辅助生殖;医疗器械概念;机器人概念;专精特新;三胎概念;融资融券,17,688273.SH,12
688377,页岩气;海工装备;高端装备;天然气;专精特新;人民币贬值受益;沪股通;融资融券,17,688377.SH,8
