股票代码,所属概念数量,所属概念,code,market_code
003013.SZ,21,地下管网;PPP概念;装配式建筑;新型城镇化;雄安新区;乡村振兴;国企改革;水利;数字孪生;一带一路;数字经济;人工智能;智慧城市;腾讯概念;粤港澳大湾区;时空大数据;物联网;低空经济;无人机;数据中心(AIDC);深股通,003013,33
002864.SZ,8,流感;肝炎概念;医药电商;养老概念;创新药;医疗器械概念;西部大开发;消毒剂,002864,33
301183.SZ,13,共封装光学(CPO);F5G概念;华为手机;6G概念;消费电子概念;汽车电子;专精特新;小米概念;无人驾驶;虚拟现实;华为概念;深股通;融资融券,301183,33
301345.SZ,11,两轮车;跨境电商;人民币贬值受益;无人驾驶;2026一季报预增;人形机器人;机器人概念;专精特新;2026中报预增;深股通;融资融券,301345,33
300029.SZ,0,,300029,37
688200.SH,8,第三代半导体;芯片概念;专精特新;高端装备;华为概念;京津冀一体化;沪股通;融资融券,688200,17
002268.SZ,44,国产操作系统;华为鲲鹏;数据安全;财税数字化;网络安全;智慧政务;移动支付;信创;区块链;鸿蒙概念;数字货币;数据要素;互联网金融;国资云;云办公;智慧城市;跨境支付(CIPS);数字孪生;数字经济;腾讯概念;车联网(车路协同);人工智能;数字水印;物联网;工业互联网;量子科技;低空经济;水利;华为概念;EDR概念;乡村振兴;军工;卫星导航;雅下水电概念;商业航天;西部大开发;国企改革;5G;汽车电子;消费电子概念;芯片概念;汽车芯片;深股通;融资融券,002268,33
300188.SZ,49,AI视频;财税数字化;数据确权;ChatGPT概念;AIGC概念;知识产权保护;职业教育;国资云;AI应用;区块链;元宇宙;数据要素;华为鲲鹏;鸿蒙概念;AI智能体;数字乡村;数字经济;DeepSeek概念;人脸识别;数据安全;电子身份证;数字货币;信创;国产操作系统;阿里巴巴概念;腾讯概念;人工智能;智慧城市;网络安全;车联网(车路协同);国企改革;安防;央企国企改革;食品安全;低空经济;福建自贸区;EDR概念;机器人概念;东数西算(算力);华为概念;海峡两岸;军工;无人机;数据中心(AIDC);智能穿戴;消费电子概念;深股通;AI眼镜;融资融券,300188,33
301369.SZ,8,中芯国际概念;第三代半导体;芯片概念;专精特新;创投;2026中报预增;深股通;融资融券,301369,33
300418.SZ,32,AI视频;AI语料;ChatGPT概念;多模态AI;短剧游戏;算力租赁;AIGC概念;Web3.0;虚拟数字人;阿里巴巴概念;AI智能体;AI应用;东数西算(算力);元宇宙;区块链;在线教育;DeepSeek概念;手机游戏;人工智能;独角兽概念;网络游戏;虚拟现实;华为概念;同花顺新质50;京津冀一体化;网红经济;无人驾驶;创投;人民币贬值受益;芯片概念;深股通;融资融券,300418,33
688158.SH,30,算力租赁;华为昇腾;东数西算(算力);中国AI 50;云计算;智谱AI;数据安全;云游戏;数据中心(AIDC);信创;液冷服务器;智慧政务;财税数字化;AI智能体;数据要素;华为概念;数字乡村;智慧城市;DeepSeek概念;商业航天;数字经济;人工智能;低空经济;工业互联网;无人驾驶;脑机接口;专精特新;智能医疗;机器人概念;融资融券,688158,17
300164.SZ,9,页岩气;俄乌冲突概念;天然气;新疆振兴;碳中和;西部大开发;一带一路;人民币贬值受益;深股通,300164,33
301665.SZ,7,草甘膦;生态农业;一带一路;人民币贬值受益;氟化工概念;深股通;融资融券,301665,33
603359.SH,16,生态农业;农业种植;ST板块;乡村振兴;PPP概念;土壤修复;新疆振兴;水利;地下管网;雄安新区;碳交易;新型城镇化;污水处理;碳中和;一带一路;股权转让(并购重组),603359,22
688057.SH,4,机器人概念;污水处理;专精特新;融资融券,688057,17
002261.SZ,31,云计算;华为欧拉;华为昇腾;国产操作系统;华为鲲鹏;华为盘古;智慧政务;信创;虚拟数字人;鸿蒙概念;东数西算(算力);阿里巴巴概念;AI应用;在线教育;蚂蚁集团概念;移动支付;DeepSeek概念;智慧城市;车联网(车路协同);人工智能;手机游戏;智能医疗;物联网;华为概念;托育服务;华为海思概念股;工业互联网;机器人概念;三胎概念;深股通;融资融券,002261,33
301669.SZ,10,虚拟电厂;新能源汽车;储能;一带一路;专精特新;注册制次新股;芯片概念;钠离子电池;新股与次新股;融资融券,301669,33
603272.SH,5,ST板块;共同富裕示范区;工业互联网;长三角一体化;专精特新,603272,22
000935.SZ,9,创投;职业教育;西部大开发;水泥概念;辅助生殖;减肥药;CRO概念;深股通;融资融券,000935,33
000518.SZ,4,医疗器械概念;肝炎概念;新型城镇化;摘帽,000518,33
300687.SZ,29,华为昇腾;算力租赁;华为欧拉;华为盘古;华为鲲鹏;信创;财税数字化;多模态AI;ERP概念;鸿蒙概念;C2M概念;AI智能体;华为概念;ChatGPT概念;AIGC概念;DeepSeek概念;人工智能;AI应用;PCB概念;新型工业化;粤港澳大湾区;工业互联网;机器人概念;创投;智能医疗;宁德时代概念;2026中报预增;融资融券;深股通,300687,33
301151.SZ,16,新型城镇化;地下管网;雄安新区;水利;乡村振兴;污水处理;一带一路;专精特新;碳中和;核电;海峡两岸;液冷服务器;超超临界发电;抽水蓄能;数据中心(AIDC);融资融券,301151,33
688120.SH,10,中芯国际概念;存储芯片;先进封装;第三代半导体;芯片概念;MicroLED概念;专精特新;国企改革;沪股通;融资融券,688120,17
603118.SH,33,F5G概念;WiFi 6;共封装光学(CPO);6G概念;华为海思概念股;5G;汽车芯片;芯片概念;PCB概念;数据中心(AIDC);先进封装;传感器;汽车电子;东数西算(算力);毫米波雷达;华为概念;物联网;粤港澳大湾区;无人驾驶;充电桩;虚拟现实;网络安全;智能座舱;智能家居;人民币贬值受益;机器人概念;工业互联网;基因测序;智能医疗;国企改革;沪股通;股权转让(并购重组);融资融券,603118,17
000938.SZ,35,WiFi 6;算力租赁;中国AI 50;东数西算(算力);6G概念;英伟达概念;液冷服务器;数据中心(AIDC);共封装光学(CPO);云计算;国资云;5G;网络安全;国产操作系统;数据安全;阿里巴巴概念;芯片概念;抖音概念(字节概念);智慧政务;物联网;车联网(车路协同);数字乡村;智慧城市;数字孪生;储能;AI智能体;数据要素;DeepSeek概念;AIGC概念;人工智能;AI应用;机器人概念;深股通;融资融券;智能医疗,000938,33
688060.SH,12,信创;网络安全;车联网(车路协同);物联网;工业互联网;专精特新;新型工业化;充电桩;智能电网;虚拟电厂;芯片概念;融资融券,688060,17
601001.SH,5,煤炭概念;高股息精选;国企改革;沪股通;融资融券,601001,17
601718.SH,16,ST板块;乡村振兴;文化传媒概念;体育产业;露营经济;国企改革;数字经济;央企国企改革;数字孪生;安防;军民融合;储能;军工;核污染防治;专精特新;智能穿戴,601718,22
603828.SH,6,ST板块;光伏建筑一体化;建筑节能;装配式建筑;PPP概念;新型城镇化,603828,22
