market_code,所属概念数量,所属概念,股票代码,code
33,34,汽车芯片;AI眼镜;智能穿戴;汽车电子;消费电子概念;传感器;芯片概念;小米概念;星闪概念;机器视觉;毫米波雷达;机器人概念;无人驾驶;专精特新;新能源汽车;安防;虚拟现实;车联网(车路协同);智能家居;人脸识别;无人机;低空经济;东数西算(算力);移动支付;卫星导航;网络安全;人工智能;数据安全;多模态AI;福建自贸区;海峡两岸;腾讯概念;融资融券;深股通,301536.SZ,301536
33,9,比亚迪概念;新型工业化;无线充电;长三角一体化;新型烟草(电子烟);苹果概念;消费电子概念;汽车电子;无线耳机,300461.SZ,300461
17,8,国家大基金持股;存储芯片;芯片概念;消费电子概念;国企改革;上海国企改革;沪股通;融资融券,688347.SH,688347
33,2,天然气;股权转让(并购重组),001331.SZ,001331
17,25,军工信息化;卫星导航;商业航天;时空大数据;华为昇腾;空间计算;军工;云计算;低空经济;无人机;数据要素;AI智能体;智慧城市;数字孪生;人工智能;钙钛矿电池;DeepSeek概念;MR(混合现实);华为概念;水利;雄安新区;碳中和;AI应用;沪股通;融资融券,688066.SH,688066
33,12,PEEK材料;新能源汽车;比亚迪概念;海工装备;专精特新;军工;核电;风电;商业航天;卫星导航;医疗器械概念;融资融券,301591.SZ,301591
33,8,物业管理;绿色电力;回购增持再贷款概念;风电;储能;证金持股;深股通;融资融券,000631.SZ,000631
17,6,家用电器;专精特新;新能源汽车;福建自贸区;冷链物流;融资融券,688398.SH,688398
33,24,先进封装;共封装光学(CPO);第三代半导体;PCB概念;富士康概念;苹果概念;华为手机;工业母机;汽车芯片;MiniLED;消费电子概念;芯片概念;比亚迪概念;锂电池概念;小米概念;新型工业化;高端装备;专精特新;机器视觉;工业互联网;华为概念;军工;深股通;融资融券,301338.SZ,301338
33,7,航空发动机;大飞机;商业航天;低空经济;AI眼镜;海峡两岸;消毒剂,001316.SZ,001316
33,4,网红经济;长三角一体化;智能家居;股权转让(并购重组),002718.SZ,002718
33,8,牙科医疗;医疗器械概念;海峡两岸;福建自贸区;机器人概念;深股通;2025年报预增;融资融券,002901.SZ,002901
17,8,第三代半导体;芯片概念;专精特新;高端装备;华为概念;京津冀一体化;沪股通;融资融券,688200.SH,688200
17,11,芯片概念;消费电子概念;智能音箱;智能穿戴;电子纸;高压快充;人民币贬值受益;海峡两岸;抖音概念(字节概念);沪股通;融资融券,688252.SH,688252
17,17,超超临界发电;光伏概念;风电;氢能源;海工装备;核电;高端装备;燃料电池;储能;一带一路;国企改革;回购增持再贷款概念;央企国企改革;机器人概念;DeepSeek概念;沪股通;融资融券,601226.SH,601226
33,11,核污染防治;军民融合;核电;军工;商业航天;西部大开发;垃圾分类;专精特新;国企改革;深股通;融资融券,002246.SZ,002246
17,6,航空发动机;军民融合;军工;3D打印;高铁;融资融券,688231.SH,688231
33,6,污水处理;消毒剂;一带一路;回购增持再贷款概念;食品安全;深股通,002637.SZ,002637
33,13,共封装光学(CPO);光纤概念;先进封装;英伟达概念;5G;同花顺新质50;数据中心;华为概念;无人驾驶;专精特新;人民币贬值受益;深股通;融资融券,300394.SZ,300394
17,18,汽车芯片;第三代半导体;无人机;芯片概念;光伏概念;新能源汽车;比亚迪概念;低空经济;汽车电子;数据中心;宁德时代概念;机器人概念;充电桩;专精特新;无人驾驶;东数西算(算力);融资融券;沪股通,605111.SH,605111
17,5,特斯拉概念;新能源汽车;人民币贬值受益;沪股通;融资融券,603997.SH,603997
33,12,商业航天;小红书概念;元宇宙;军工;智慧城市;MR(混合现实);华为概念;柔性屏(折叠屏);MicroLED概念;体育产业;MiniLED;人民币贬值受益,300269.SZ,300269
151,6,芯片概念;第三代半导体;融资融券;6G概念;专精特新;培育钻石,920725.BJ,920725
33,36,快手概念;小红书概念;财税数字化;ChatGPT概念;AIGC概念;数据安全;智慧政务;华为鲲鹏;信创;AI智能体;数据要素;网络安全;百度概念;文化传媒概念;抖音概念(字节概念);数字乡村;职业教育;阿里巴巴概念;鸿蒙概念;区块链;腾讯概念;数字经济;DeepSeek概念;网红经济;人工智能;华为概念;智能医疗;低空经济;京津冀一体化;化债概念(AMC概念);数据中心;跨境电商;乡村振兴;雄安新区;AI应用;深股通,002279.SZ,002279
17,29,中国AI 50;汽车芯片;MCU芯片;智能音箱;国家大基金持股;AI眼镜;智能穿戴;智能座舱;芯片概念;小米概念;消费电子概念;虚拟现实;人形机器人;机器视觉;百度概念;腾讯概念;华为概念;物联网;人工智能;机器人概念;智能家居;比亚迪概念;2025三季报预增;电力物联网;海峡两岸;福建自贸区;2025年报预增;融资融券;沪股通,603893.SH,603893
17,13,汽车芯片;AI眼镜;芯片概念;消费电子概念;AI手机;小米概念;汽车电子;比亚迪概念;机器人概念;创投;民爆概念;融资融券;沪股通,688601.SH,688601
33,28,小红书概念;快手概念;智谱AI;Web3.0;短剧游戏;AIGC概念;ChatGPT概念;虚拟数字人;AI智能体;NFT概念;抖音概念(字节概念);在线教育;文化传媒概念;百度概念;阿里巴巴概念;元宇宙;腾讯概念;网红经济;职业教育;人工智能;DeepSeek概念;虚拟现实;华为概念;AI应用;跨境电商;创投;深股通;融资融券,300058.SZ,300058
17,6,2025年报预增;工业母机;专精特新;机器人概念;沪股通;融资融券,688059.SH,688059
33,19,智能音箱;汽车芯片;AI眼镜;智能穿戴;汽车电子;消费电子概念;芯片概念;安防;机器视觉;智能家居;东数西算(算力);机器人概念;人脸识别;鸿蒙概念;人工智能;专精特新;比亚迪概念;深股通;融资融券,300613.SZ,300613
33,8,宁德时代概念;液冷服务器;消费电子概念;汽车热管理;汽车电子;华为概念;深股通;融资融券,301626.SZ,301626
33,3,金属铜;小金属概念;光伏概念,002842.SZ,002842
33,19,钙钛矿电池;TOPCON电池;HJT电池;BC电池;光伏建筑一体化;光伏概念;储能;碳中和;钒电池;碳交易;华为数字能源;雄安新区;华为概念;长三角一体化;区块链;蚂蚁集团概念;深股通;数字经济;融资融券,002506.SZ,002506
17,5,智能医疗;人工智能;宠物经济;传感器;融资融券,688607.SH,688607
17,20,中芯国际概念;存储芯片;第三代半导体;汽车芯片;芯片概念;硅能源;共封装光学(CPO);商业航天;卫星导航;光伏概念;汽车电子;比亚迪概念;专精特新;无人驾驶;5G;人形机器人;机器人概念;充电桩;融资融券;沪股通,605358.SH,605358
17,17,PCB概念;先进封装;MiniLED;海峡两岸;消费电子概念;芯片概念;5G;石墨烯;毫米波雷达;储能;锂电池概念;固态电池;6G概念;华为概念;绿色电力;冷链物流;沪股通,603186.SH,603186
33,3,海峡两岸;三胎概念;融资融券,300955.SZ,300955
