code,market_code,股票代码,所属概念数量,所属概念
002960,33,002960.SZ,22,安防;人工智能;物联网;智慧城市;智能家居;机器视觉;无人机;机器人概念;阿里巴巴概念;传感器;快手概念;储能;人形机器人;跨境电商;新型城镇化;数据中心(AIDC);MCU芯片;核电;氢能源;芯片概念;融资融券;深股通
002987,33,002987.SZ,23,跨境支付(CIPS);数字货币;移动支付;电子身份证;互联网金融;虚拟数字人;区块链;AI应用;鸿蒙概念;知识产权保护;智慧政务;数据要素;数字经济;AI智能体;国产操作系统;信创;百度概念;数据安全;DeepSeek概念;人工智能;京津冀一体化;融资融券;深股通
600207,17,600207.SH,11,光热发电;建筑节能;储能;光伏概念;医疗器械概念;天然气;国企改革;富士康概念;芯片概念;沪股通;融资融券
002421,33,002421.SZ,32,信创;液冷服务器;华为鲲鹏;云计算;小米概念;物联网;东数西算(算力);抖音概念(字节概念);人脸识别;华为概念;数字孪生;鸿蒙概念;AI智能体;数据中心(AIDC);腾讯概念;工业互联网;机器人概念;AI应用;智慧城市;宁德时代概念;人工智能;数字经济;DeepSeek概念;粤港澳大湾区;建筑节能;碳中和;雄安新区;智能医疗;PPP概念;养老概念;深股通;融资融券
000068,33,000068.SZ,6,智慧城市;PPP概念;创投;粤港澳大湾区;国企改革;锂电池概念
000517,33,000517.SZ,5,物业管理;建筑节能;长三角一体化;深股通;融资融券
920418,151,920418.BJ,9,商业航天;融资融券;机器人概念;新能源汽车;国企改革;减速器;军民融合;军工;专精特新
920640,151,920640.BJ,19,2025年报预增;军工;铜缆高速连接;西部大开发;量子科技;毫米波雷达;芯片概念;融资融券;无人机;央企国企改革;国企改革;商业航天;卫星导航;华为概念;军民融合;军工信息化;低空经济;专精特新;5G
600879,17,600879.SH,20,太赫兹;军工信息化;卫星导航;军民融合;商业航天;军工;无人机;特高压;低空经济;量子科技;高端装备;传感器;芯片概念;物联网;央企国企改革;京津冀一体化;医疗器械概念;国企改革;沪股通;融资融券
688668,17,688668.SH,13,铜缆高速连接;光纤概念;英伟达概念;5G;液冷服务器;商业航天;机器视觉;比亚迪概念;新能源汽车;2025年报预增;长安汽车概念;融资融券;沪股通
688682,17,688682.SH,9,军工信息化;卫星导航;商业航天;军工;低空经济;毫米波雷达;5G;人工智能;融资融券
300688,33,300688.SZ,28,智谱AI;Web3.0;财税数字化;云计算;ChatGPT概念;智慧政务;AIGC概念;虚拟数字人;知识产权保护;抖音概念(字节概念);AI应用;数据要素;AI智能体;阿里巴巴概念;元宇宙;在线教育;区块链;算力租赁;职业教育;数字经济;DeepSeek概念;人工智能;东数西算(算力);独角兽概念;华为概念;创投;股权转让(并购重组);深股通
600421,21,600421.SH,0,
300976,33,300976.SZ,24,苹果概念;芯片概念;柔性屏(折叠屏);消费电子概念;汽车电子;智能穿戴;液冷服务器;小米概念;比亚迪概念;虚拟现实;华为概念;新能源汽车;光伏概念;特斯拉概念;东数西算(算力);碳纤维;宁德时代概念;脑机接口;粤港澳大湾区;储能;抖音概念(字节概念);创投;深股通;融资融券
300600,33,300600.SZ,11,国产航母;军民融合;海工装备;军工;核电;国企改革;风电;商业航天;专精特新;机器人概念;储能
603929,17,603929.SH,10,中芯国际概念;富士康概念;OLED;芯片概念;柔性屏(折叠屏);2026一季报预增;华为概念;海峡两岸;长三角一体化;沪股通
002164,33,002164.SZ,8,减速器;机器人概念;共同富裕示范区;高铁;2025年报预增;风电;深股通;融资融券
920405,151,920405.BJ,5,数据中心(AIDC);工业互联网;融资融券;固态电池;储能
300503,33,300503.SZ,23,减速器;人形机器人;工业母机;传感器;新型工业化;富士康概念;机器人概念;商业航天;比亚迪概念;新能源汽车;专精特新;高端装备;芯片概念;人工智能;PCB概念;燃料电池;2025年报预增;海峡两岸;粤港澳大湾区;光伏概念;氢能源;融资融券;深股通
300907,33,300907.SZ,6,新型工业化;新能源汽车;机器人概念;家用电器;人民币贬值受益;融资融券
301314,33,301314.SZ,10,WiFi 6;专精特新;F5G概念;5G;粤港澳大湾区;汽车电子;新型工业化;新能源汽车;家用电器;融资融券
920706,151,920706.BJ,9,俄乌冲突概念;芯片概念;工业母机;融资融券;海峡两岸;互联网金融;中俄贸易概念;专精特新;一带一路
301488,33,301488.SZ,24,华为汽车;长安汽车概念;人形机器人;智能座舱;机器人概念;百度概念;无人驾驶;机器视觉;比亚迪概念;人工智能;新能源汽车;低空经济;传感器;毫米波雷达;华为概念;英伟达概念;专精特新;粤港澳大湾区;充电桩;汽车电子;回购增持再贷款概念;汽车芯片;深股通;融资融券
002446,33,002446.SZ,20,卫星导航;6G概念;太赫兹;商业航天;军工信息化;5G;毫米波雷达;芯片概念;军工;军民融合;汽车电子;无人驾驶;华为概念;物联网;车联网(车路协同);智能电网;粤港澳大湾区;回购增持再贷款概念;深股通;融资融券
300488,33,300488.SZ,11,减速器;工业母机;航空发动机;人形机器人;军民融合;机器人概念;专精特新;比亚迪概念;共同富裕示范区;长三角一体化;深股通
300136,33,300136.SZ,33,同花顺果指数;6G概念;WiFi 6;卫星导航;芯片概念;商业航天;富士康概念;无线充电;5G;毫米波雷达;苹果概念;柔性屏(折叠屏);AI眼镜;汽车电子;消费电子概念;智能穿戴;无线耳机;智能音箱;无人机;低空经济;华为概念;虚拟现实;物联网;车联网(车路协同);特斯拉概念;机器人概念;粤港澳大湾区;海峡两岸;人民币贬值受益;一带一路;回购增持再贷款概念;深股通;融资融券
301289,33,301289.SZ,15,核电;海工装备;军民融合;特高压;成飞概念;储能;风电;职业教育;超导概念;国企改革;上海国企改革;钒电池;6G概念;光纤概念;融资融券
300346,33,300346.SZ,14,中芯国际概念;国家大基金持股;光刻胶;存储芯片;OLED;芯片概念;专精特新;光伏概念;华为概念;氟化工概念;长三角一体化;磷化工;融资融券;深股通
920263,151,920263.BJ,21,金属回收;小金属概念;数字孪生;京津冀一体化;工业互联网;天然气;农业种植;页岩气;融资融券;稀土永磁;碳交易;碳中和;污水处理;水泥概念;机器人概念;新疆振兴;土壤修复;专精特新;人形机器人;人工智能;AIGC概念
