code,market_code,所属概念,股票代码,所属概念数量
600172,17,培育钻石;第三代半导体;回购增持再贷款概念;国企改革;物业管理;沪股通;旅游概念;融资融券,600172.SH,8
603823,17,光刻胶;PEEK材料;钠离子电池;沪股通,603823.SH,4
603730,17,上海自贸区;特斯拉概念;人民币贬值受益;长安汽车概念;比亚迪概念;新能源汽车;沪股通;融资融券,603730.SH,8
600234,17,抖音概念(字节概念);物业管理;文化传媒概念,600234.SH,3
002297,33,培育钻石;航空发动机;成飞概念;大飞机;商业航天;碳纤维;军工;军民融合;无人机;2026一季报预增;国企改革;融资融券,002297.SZ,12
605111,17,先进封装;汽车芯片;第三代半导体;芯片概念;汽车电子;数据中心;东数西算(算力);光伏概念;专精特新;无人机;比亚迪概念;宁德时代概念;新能源汽车;机器人概念;无人驾驶;充电桩;低空经济;融资融券;沪股通,605111.SH,19
603936,17,PCB概念;共封装光学(CPO);AI PC;苹果概念;先进封装;存储芯片;6G概念;MiniLED;第三代半导体;5G;汽车电子;消费电子概念;液冷服务器;EDR概念;数据中心;智能穿戴;商业航天;卫星导航;比亚迪概念;新能源汽车;无人驾驶;华为概念;充电桩;军工;机器人概念;物联网;沪股通;融资融券,603936.SH,28
603360,17,机器人概念;芯片概念;人民币贬值受益;存储芯片;消毒剂;光刻机;沪股通,603360.SH,7
002975,33,PCB概念;先进封装;存储芯片;富士康概念;苹果概念;芯片概念;5G;液冷服务器;AI眼镜;消费电子概念;英伟达概念;汽车电子;新型烟草(电子烟);毫米波雷达;无线耳机;MR(混合现实);小米概念;智能座舱;机器视觉;比亚迪概念;华为概念;新能源汽车;工业母机;虚拟现实;人形机器人;无人驾驶;特斯拉概念;新型工业化;粤港澳大湾区;2025年报预增;机器人概念;高端装备;腾讯概念;阿里巴巴概念;横琴新区;人工智能;减速器;一带一路;深股通,002975.SZ,39
002432,33,血氧仪;天津自贸区;智能穿戴;智能医疗;小米概念;医疗器械概念;人民币贬值受益;AI应用;回购增持再贷款概念;创投;流感;京津冀一体化;跨境电商;养老概念;深股通;融资融券,002432.SZ,16
600584,17,国家大基金持股;存储芯片;先进封装;中芯国际概念;同花顺果指数;共封装光学(CPO);苹果概念;第三代半导体;汽车芯片;芯片概念;汽车电子;毫米波雷达;智能穿戴;无人驾驶;机器人概念;物联网;人民币贬值受益;人工智能;沪股通;融资融券;央企国企改革;国企改革;绿色电力;股权转让(并购重组),600584.SH,24
603663,17,稀土永磁;小金属概念;宁德时代概念;固态电池;一体化压铸;专精特新;芯片概念;核电;氢能源;海峡两岸;回购增持再贷款概念;沪股通;融资融券,603663.SH,13
003036,33,固态电池;锂电池概念;新型工业化;机器人概念;共同富裕示范区;高端装备;参股银行,003036.SZ,7
603256,17,PCB概念;华为手机;苹果概念;5G;消费电子概念;芯片概念;数据中心;专精特新;2025年报预增;华为概念;海峡两岸;沪股通,603256.SH,12
002980,33,共封装光学(CPO);血氧仪;核污染防治;AI眼镜;PM2.5;智能穿戴;光伏概念;食品安全;新能源汽车;储能;人民币贬值受益;充电桩;物联网;核电;医疗器械概念;华为鲲鹏;流感;AI智能体;DeepSeek概念;智能医疗;鸿蒙概念,002980.SZ,21
605588,17,OLED;富士康概念;苹果概念;芯片概念;消费电子概念;柔性屏(折叠屏);华为手机;小米概念;华为概念,605588.SH,9
600310,17,超超临界发电;抽水蓄能;绿色电力;风电;参股券商;国企改革;储能;西部大开发;创投;DeepSeek概念;人工智能;沪股通;融资融券,600310.SH,13
002409,33,国家大基金持股;存储芯片;中芯国际概念;光刻胶;OLED;芯片概念;特高压;专精特新;氟化工概念;海工装备;磷化工;深股通;天然气;融资融券,002409.SZ,14
603083,17,共封装光学(CPO);F5G概念;WiFi 6;液冷服务器;5G;华为概念;物联网;2025年报预增;工业互联网;智能家居;人民币贬值受益;一带一路;沪股通;融资融券,603083.SH,14
002947,33,无线耳机;AI PC;苹果概念;柔性屏(折叠屏);消费电子概念;5G;东数西算(算力);智能穿戴;数据中心;比亚迪概念;虚拟现实;新能源汽车;储能;人民币贬值受益;深股通;融资融券,002947.SZ,16
601666,17,煤炭概念;煤化工概念;证金持股;国企改革;沪股通;融资融券;回购增持再贷款概念,601666.SH,7
603203,17,先进封装;第三代半导体;共封装光学(CPO);中芯国际概念;存储芯片;富士康概念;OLED;PCB概念;苹果概念;芯片概念;液冷服务器;AI眼镜;消费电子概念;汽车电子;无线耳机;智能穿戴;专精特新;机器视觉;比亚迪概念;新能源汽车;新型工业化;宁德时代概念;华为概念;高端装备;机器人概念;工业互联网;人工智能;沪股通,603203.SH,28
600637,17,云游戏;虚拟现实;AI应用;AI智能体;腾讯概念;短剧游戏;百度概念;人工智能;在线教育;电子竞技;智慧城市;文化传媒概念;网络游戏;5G;创投;旅游概念;上海国企改革;国企改革;证金持股;沪股通;融资融券,600637.SH,21
605566,17,染料;2025年报预增;POE胶膜;光伏概念;HJT电池,605566.SH,5
600503,17,石墨烯;参股银行;机器人概念;创新药;融资融券,600503.SH,5
605580,17,培育钻石;固废处理;绿色电力;碳交易;芯片概念;沪股通,605580.SH,6
000988,33,F5G概念;共封装光学(CPO);铜缆高速连接;6G概念;存储芯片;PCB概念;先进封装;MiniLED;5G;高压快充;柔性屏(折叠屏);第三代半导体;苹果概念;芯片概念;东数西算(算力);MicroLED概念;量子科技;充电桩;汽车电子;卫星导航;储能;钙钛矿电池;传感器;华为概念;商业航天;物联网;宁德时代概念;数字孪生;工业母机;智能座舱;新型工业化;锂电池概念;专精特新;比亚迪概念;工业互联网;智慧城市;独角兽概念;3D打印;百度概念;阿里巴巴概念;氢能源;腾讯概念;新能源汽车;高端装备;机器人概念;数据要素;特斯拉概念;AI智能体;大飞机;航空发动机;智能家居;汽车热管理;创投;长安汽车概念;家用电器;回购增持再贷款概念;华为汽车;国企改革;乡村振兴;农机;基因测序;深股通;融资融券,000988.SZ,63
002851,33,第三代半导体;中国AI 50;数据中心;芯片概念;英伟达概念;高压快充;智能电网;超级电容;小米概念;高端装备;光伏概念;充电桩;新能源汽车;高铁;储能;新型工业化;机器人概念;车联网(车路协同);风电;家用电器;智能家居;长安汽车概念;一带一路;医疗器械概念;融资融券;深股通,002851.SZ,26
002897,33,共封装光学(CPO);铜缆高速连接;6G概念;F5G概念;华为海思概念股;5G;富士康概念;液冷服务器;数据中心;消费电子概念;智能穿戴;华为概念;光伏概念;新型烟草(电子烟);小米概念;无人驾驶;比亚迪概念;2025年报预增;新能源汽车;海峡两岸;华为汽车;长安汽车概念;人民币贬值受益;深股通;融资融券,002897.SZ,25
002938,33,同花顺果指数;PCB概念;共封装光学(CPO);富士康概念;MiniLED;AI PC;AI手机;苹果概念;汽车电子;AI眼镜;消费电子概念;智能座舱;智能穿戴;无线耳机;商业航天;虚拟现实;无人驾驶;人形机器人;华为概念;新能源汽车;海峡两岸;人民币贬值受益;融资融券;深股通,002938.SZ,24
603986,17,存储芯片;汽车芯片;MCU芯片;芯片概念;汽车电子;无线耳机;传感器;小米概念;人形机器人;锂电池概念;物联网;光伏概念;人民币贬值受益;回购增持再贷款概念;融资融券;沪股通,603986.SH,16
002718,33,长三角一体化;智能家居;网红经济;股权转让(并购重组),002718.SZ,4
605198,17,乡村振兴;人民币贬值受益;沪股通,605198.SH,3
002552,33,PCB概念;5G;汽车电子;黄金概念;股权转让(并购重组);2026一季报预增;互联网金融;国企改革;深股通,002552.SZ,9
000636,33,超级电容;共封装光学(CPO);5G;AI眼镜;汽车电子;高压快充;智能穿戴;液冷服务器;传感器;卫星导航;商业航天;东数西算(算力);小金属概念;光伏概念;华为概念;无人机;比亚迪概念;锂电池概念;储能;机器人概念;低空经济;粤港澳大湾区;创投;国企改革;深股通;融资融券,000636.SZ,26
002976,33,5G;比亚迪概念;富士康概念;锂电池概念;新能源汽车;汽车电子;一带一路;车联网(车路协同);储能;飞行汽车(eVTOL);无人驾驶;长安汽车概念;智能座舱;特斯拉概念,002976.SZ,14
