code,所属概念,所属概念数量,股票代码,market_code
002008,光刻机;光纤概念;PCB概念;富士康概念;先进封装;第三代半导体;OLED;存储芯片;苹果概念;MicroLED概念;MR(混合现实);芯片概念;MiniLED;AI眼镜;3D打印;消费电子概念;工业母机;商业航天;钙钛矿电池;小米概念;光伏概念;新能源汽车;华为概念;宁德时代概念;机器视觉;比亚迪概念;特斯拉概念;高端装备;固态电池;储能;HJT电池;新型工业化;锂电池概念;机器人概念;TOPCON电池;物联网;粤港澳大湾区;减速器;深股通;融资融券,40,002008.SZ,33
301595,露营经济;专精特新;智能家居;商业航天;跨境电商;注册制次新股;新股与次新股;融资融券,8,301595.SZ,33
300901,英伟达概念;多模态AI;三胎概念;虚拟数字人;AIGC概念;人民币贬值受益;东数西算(算力);新疆振兴;融资融券,9,300901.SZ,33
603010,新能源汽车;比亚迪概念;芯片概念;锂电池概念;磷化工;合成生物;融资融券;沪股通,8,603010.SH,17
300946,新型工业化;专精特新;人形机器人;机器人概念;工业母机;海峡两岸;高端装备;跨境电商;深股通;融资融券,10,300946.SZ,33
003001,装配式建筑;地下管网;雄安新区;土壤修复;水利;一带一路;人工智能;雅下水电概念;核电;可控核聚变;深股通,11,003001.SZ,33
605598,卫星导航;商业航天;钙钛矿电池;无人机;人民币贬值受益;一带一路;土壤修复;沪股通,8,605598.SH,17
300594,液冷服务器;汽车热管理;空气能热泵;数据中心;农机;新能源汽车;飞行汽车(eVTOL);比亚迪概念;风电;高铁;换电概念;低空经济;专精特新;充电桩;储能;光伏概念;烟草;芯片概念;回购增持再贷款概念;ST板块,20,300594.SZ,33
688456,先进封装;PCB概念;芯片概念;卫星导航;金属镍;3D打印;华为概念;商业航天;数据中心;航空发动机;华为昇腾;机器人概念;军工;BC电池;光伏概念;军民融合;国企改革;央企国企改革;融资融券,19,688456.SH,17
300849,可降解塑料,1,300849.SZ,33
603418,注册制次新股;小米汽车;小米概念;比亚迪概念;华为汽车;宁德时代概念;特斯拉概念;一体化压铸;新能源汽车;新股与次新股;融资融券,11,603418.SH,17
300561,ST板块;语音技术;粤港澳大湾区;人脸识别;物联网;物业管理;互联网金融;网络安全;人工智能;信创;区块链;数据安全;百度概念;AI应用;股权转让(并购重组),15,300561.SZ,33
300570,共封装光学(CPO);F5G概念;光纤概念;铜缆高速连接;5G;芯片概念;数据中心;传感器;人民币贬值受益;融资融券;深股通,11,300570.SZ,33
301261,创投;减速器;专精特新;京津冀一体化;机器人概念;工业母机;人形机器人;高端装备;深股通;融资融券,10,301261.SZ,33
002244,租售同权;特色小镇;物业管理;证金持股;深股通;融资融券;固态电池;乡村振兴;养老概念;海峡两岸;共同富裕示范区,11,002244.SZ,33
603637,碳中和;氢能源;国企改革;天然气,4,603637.SH,17
002213,存储芯片;PCB概念;汽车芯片;锂电池概念;小金属概念;消费电子概念;WiFi 6;比亚迪概念;芯片概念;信创;粤港澳大湾区;新能源汽车;硅能源;无人驾驶;创投,15,002213.SZ,33
920663,融资融券;新能源汽车;减速器;专精特新;PEEK材料,5,920663.BJ,151
