market_code,股票代码,所属概念,code,所属概念数量
33,300766.SZ,智谱AI;AI语料;快手概念;小红书概念;多模态AI;ChatGPT概念;虚拟数字人;抖音概念(字节概念);AI智能体;云计算;数据安全;智慧政务;百度概念;空间计算;鸿蒙概念;腾讯概念;数据要素;阿里巴巴概念;拼多多概念;区块链;DeepSeek概念;人工智能;数字经济;智慧城市;车联网(车路协同);华为概念;智能医疗;小米概念;机器人概念;共同富裕示范区;比亚迪概念;AI应用;融资融券;深股通,300766,34
33,300107.SZ,染料;低空经济;飞行汽车(eVTOL);京津冀一体化;雄安新区;深股通,300107,6
33,300779.SZ,固废处理;稀土永磁;融资融券;深股通,300779,4
33,001330.SZ,AI应用;短剧游戏;Sora概念(文生视频);文化传媒概念;IP经济(谷子经济);AIGC概念;抖音概念(字节概念);腾讯概念;阿里巴巴概念;新疆振兴;西部大开发;深股通,001330,12
17,600641.SH,存储芯片;OLED;第三代半导体;芯片概念;TOPCON电池;光伏概念;小金属概念;创投;沪股通;股权转让(并购重组);融资融券,600641,11
17,688001.SH,芯片概念;人形机器人;OLED;汽车电子;苹果概念;消费电子概念;MicroLED概念;无线耳机;特斯拉概念;智能穿戴;5G;智能音箱;回购增持再贷款概念;沪股通;融资融券,688001,15
33,301008.SZ,减速器;人形机器人;新能源汽车;机器人概念;传感器;专精特新;家用电器;智能家居;融资融券,301008,9
17,688419.SH,存储芯片;先进封装;芯片概念;高端装备;人民币贬值受益;绿色电力;融资融券,688419,7
33,300258.SZ,减速器;人形机器人;小米汽车;汽车热管理;小米概念;特斯拉概念;长安汽车概念;比亚迪概念;新能源汽车;机器人概念;燃料电池;农机;氢能源;回购增持再贷款概念;深股通;融资融券,300258,16
17,600977.SH,短剧游戏;文化传媒概念;IP经济(谷子经济);中字头股票;腾讯概念;AIGC概念;人工智能;国企改革;同花顺中特估100;沪股通;融资融券,600977,11
33,002467.SZ,云办公;智慧政务;Web3.0;云计算;网络安全;区块链;虚拟数字人;信创;在线教育;AI智能体;AIGC概念;元宇宙;鸿蒙概念;智谱AI;网红经济;数字经济;腾讯概念;阿里巴巴概念;DeepSeek概念;人工智能;语音技术;虚拟现实;低空经济;物联网;数据中心;小米概念;一带一路;融资融券;深股通,002467,29
33,000973.SZ,固态电池;锂电池概念;宁德时代概念;比亚迪概念;OLED;航运概念;国企改革;粤港澳大湾区;特高压;AI眼镜;融资融券;证金持股;深股通;股权转让(并购重组),000973,14
151,920533.BJ,融资融券;特斯拉概念;机器人概念;无人驾驶;宁德时代概念;新能源汽车;人民币贬值受益;人形机器人,920533,8
33,300718.SZ,人形机器人;汽车热管理;特斯拉概念;机器人概念;专精特新;核电;风电;长三角一体化;融资融券;深股通,300718,10
17,605136.SH,拼多多概念;抖音概念(字节概念);网红经济;跨境电商;三胎概念;创投;乡村振兴,605136,7
17,688343.SH,芯片概念;AI眼镜;智能座舱;人形机器人;消费电子概念;智能穿戴;东数西算(算力);华为昇腾;机器视觉;算力租赁;多模态AI;信创;华为概念;阿里巴巴概念;车联网(车路协同);ChatGPT概念;人脸识别;华为鲲鹏;安防;机器人概念;鸿蒙概念;AI智能体;低空经济;智慧政务;人工智能;DeepSeek概念;智慧城市;沪股通;融资融券,688343,29
17,688085.SH,智能医疗;2025年报预增;医疗器械概念;专精特新;机器人概念;沪股通;融资融券,688085,7
33,000638.SZ,军民融合;军工;重组蛋白;ST板块;肝炎概念;生物疫苗;京津冀一体化;民营医院;玉米;粮食概念,000638,10
33,301518.SZ,碳中和;污水处理;2025年报预增;专精特新;新能源汽车;融资融券,301518,6
17,603045.SH,金属回收;HJT电池;黄金概念;TOPCON电池;数据中心;BC电池;储能;2025年报预增;智能电网;工业互联网;充电桩;5G;高铁;比亚迪概念;新能源汽车;汽车电子;智能家居;股权转让(并购重组);融资融券,603045,19
33,301013.SZ,智能座舱;机器视觉;OLED;柔性屏(折叠屏);富士康概念;芯片概念;人形机器人;新型工业化;华为汽车;无线耳机;消费电子概念;机器人概念;比亚迪概念;5G;专精特新;PCB概念;华为概念;新能源汽车;华为昇腾;高端装备;充电桩;液冷服务器;医疗器械概念;储能;深股通;融资融券,301013,26
22,603021.SH,地下管网;ST板块;跨境电商,603021,3
33,000488.SZ,ST板块;参股银行;期货概念;污水处理;国企改革;碳中和;碳交易;区块链,000488,8
33,000016.SZ,存储芯片;星闪概念;无线耳机;网约车;智能穿戴;芯片概念;MiniLED;消费电子概念;智能家居;MicroLED概念;鸿蒙概念;家用电器;PCB概念;人工智能;5G;PPP概念;工业互联网;创投;DeepSeek概念;腾讯概念;污水处理;海峡两岸;国企改革;央企国企改革;深股通;股权转让(并购重组);融资融券,000016,27
33,000669.SZ,ST板块;天然气,000669,2
33,000004.SZ,ST板块;人脸识别;粤港澳大湾区;手机游戏;人工智能;互联网金融;物联网;鸿蒙概念;车联网(车路协同);工业互联网;网络安全;抖音概念(字节概念);电力物联网;数据安全;信创;华为概念;云计算;储能;东数西算(算力);5G,000004,20
33,000711.SZ,土壤修复;固废处理;污水处理;ST板块;黑龙江自贸区;PPP概念;雄安新区;金属回收;水利;一带一路;乡村振兴;金属锌;小金属概念;无人机;物联网,000711,15
33,000821.SZ,钙钛矿电池;HJT电池;TOPCON电池;光伏概念;高端装备;储能;无人机;新能源汽车;特斯拉概念;锂电池概念;机器人概念;ST板块;智能物流;独角兽概念;人工智能,000821,15
33,002289.SZ,ST板块;柔性屏(折叠屏);消费电子概念;数据中心;股权转让(并购重组),002289,5
22,603268.SH,股权转让(并购重组);ST板块;人民币贬值受益;高端装备;跨境电商;海工装备;在线教育,603268,7
33,001270.SZ,商业航天;卫星导航;6G概念;军工信息化;军民融合;军工;第三代半导体;芯片概念;5G;专精特新;共同富裕示范区;ST板块,001270,12
33,000609.SZ,ST板块;互联网金融;创投;高铁;股权转让(并购重组),000609,5
33,002647.SZ,移动支付;数字货币;跨境支付(CIPS);芯片概念;云计算;东数西算(算力);区块链;ST板块;互联网金融,002647,9
33,300042.SZ,存储芯片;汽车芯片;芯片概念;AI眼镜;消费电子概念;智能穿戴;人民币贬值受益;东数西算(算力);算力租赁;粤港澳大湾区;华为昇腾;时空大数据;华为鲲鹏;智慧城市;DeepSeek概念;国企改革;跨境电商;知识产权保护;虚拟数字人;深股通;融资融券,300042,21
17,603667.SH,减速器;人形机器人;汽车热管理;特斯拉概念;新能源汽车;高端装备;大飞机;机器人概念;无人机;商业航天;军工;风电;特钢概念;沪股通;融资融券,603667,15
33,002713.SZ,算力租赁;ST板块;元宇宙;AIGC概念;东数西算(算力);人工智能;数字经济;互联网金融;智能物流;数据中心;小米概念;装配式建筑;智能家居;AI应用,002713,14
33,002592.SZ,ST板块;长安汽车概念;细胞免疫治疗;华为汽车;汽车热管理;新能源汽车;燃料电池;西部大开发;专精特新;文化传媒概念;2025三季报预增;网络游戏;2025年报预增;军工;华为概念,002592,15
33,002374.SZ,白酒概念;海峡两岸;PPP概念;污水处理;融资融券,002374,5
33,300667.SZ,商业航天;军工;量子科技;可控核聚变;低空经济;智能电网;海工装备;物联网;传感器;安防;水利;新型工业化;第三代半导体;专精特新;光纤概念;芯片概念;工业互联网;光伏概念;数据中心;虚拟现实;钙钛矿电池;数字经济;消费电子概念;食品安全;医美概念,300667,25
33,301018.SZ,液冷服务器;高压快充;数据中心;5G;可控核聚变;储能;抽水蓄能;新能源汽车;华为概念;2025年报预增;锂电池概念;核电;成飞概念;阿里巴巴概念;空气能热泵;腾讯概念;军工;百度概念;抖音概念(字节概念);DeepSeek概念;碳中和;深股通;融资融券,301018,23
33,300097.SZ,ST板块;新型工业化;MiniLED;智能物流;柔性屏(折叠屏);新能源汽车;华为概念;OLED;股权转让(并购重组),300097,9
33,002812.SZ,固态电池;宁德时代概念;锂电池概念;比亚迪概念;储能;新能源汽车;烟草;充电桩;消费电子概念;专精特新;同花顺漂亮100;西部大开发;深股通;人工智能;融资融券,002812,15
17,688785.SH,科创次新股;中芯国际概念;芯片概念;注册制次新股;新股与次新股;融资融券,688785,6
17,600538.SH,眼科医疗;医药电商;消毒剂;医疗器械概念;基因测序;西部大开发;智慧城市,600538,7
17,688239.SH,航空发动机;大飞机;商业航天;海工装备;低空经济;核电;高端装备;专精特新;DeepSeek概念;风电;西部大开发;锂电池概念;沪股通;融资融券,688239,14
151,920068.BJ,无人机;海工装备;3D打印;小金属概念;专精特新;消费电子概念;商业航天;新股与次新股;融资融券,920068,9
