market_code,股票代码,所属概念数量,code,所属概念
17,603950.SH,8,603950,汽车电子;比亚迪概念;新能源汽车;飞行汽车(eVTOL);低空经济;2025年报预增;股权转让(并购重组);沪股通
17,603618.SH,15,603618,光纤概念;特高压;抽水蓄能;智能电网;风电;5G;光伏概念;储能;新能源汽车;PET铜箔;石墨烯;共同富裕示范区;锂电池概念;沪股通;融资融券
33,300964.SZ,22,300964,共封装光学(CPO);PCB概念;5G;6G概念;毫米波雷达;汽车电子;专精特新;虚拟现实;华为概念;卫星导航;特斯拉概念;商业航天;新能源汽车;无人机;机器人概念;军工;低空经济;工业互联网;充电桩;医疗器械概念;创投;融资融券
33,000066.SZ,37,000066,中国AI 50;AI PC;东数西算(算力);数据中心;液冷服务器;数据安全;信创;网络安全;芯片概念;华为鲲鹏;智能电网;百度概念;5G;国产操作系统;卫星导航;消费电子概念;量子科技;华为概念;区块链;车联网(车路协同);人工智能;汽车电子;DeepSeek概念;商业航天;数字经济;智慧城市;军工;粤港澳大湾区;海工装备;军民融合;锂电池概念;钠离子电池;央企国企改革;国企改革;深股通;中字头股票;融资融券
33,300667.SZ,25,300667,食品安全;量子科技;商业航天;军工;新型工业化;安防;物联网;低空经济;可控核聚变;专精特新;医美概念;海工装备;传感器;虚拟现实;光纤概念;智能电网;水利;工业互联网;数字经济;消费电子概念;第三代半导体;芯片概念;数据中心;光伏概念;钙钛矿电池
33,300308.SZ,15,300308,共封装光学(CPO);F5G概念;液冷服务器;芯片概念;中国AI 50;汽车电子;5G;同花顺新质50;数据中心;无人驾驶;2025年报预增;深股通;人民币贬值受益;创投;融资融券
17,603916.SH,12,603916,房屋检测;建筑节能;水利;AI应用;军工;水泥概念;雅下水电概念;核电;可控核聚变;风电;抽水蓄能;融资融券
33,300243.SZ,7,300243,PCB概念;固态电池;可降解塑料;磷化工;锂电池概念;风电;合成生物
33,000935.SZ,9,000935,职业教育;创投;CRO概念;西部大开发;减肥药;辅助生殖;水泥概念;深股通;融资融券
17,603938.SH,10,603938,光纤概念;芯片概念;存储芯片;有机硅概念;海峡两岸;光伏概念;京津冀一体化;硅能源;沪股通;融资融券
17,688222.SH,14,688222,CRO概念;减肥药;重组蛋白;创新药;智能医疗;AI应用;腾讯概念;人工智能;2025年报预增;人民币贬值受益;回购增持再贷款概念;西部大开发;沪股通;融资融券
33,301093.SZ,6,301093,人工智能;创投;医疗器械概念;创新药;深股通;融资融券
17,688213.SH,21,688213,汽车芯片;国家大基金持股;同花顺新质50;AI眼镜;汽车电子;机器视觉;无人驾驶;芯片概念;消费电子概念;传感器;小米概念;安防;华为概念;专精特新;比亚迪概念;物联网;机器人概念;2025年报预增;智能家居;沪股通;融资融券
17,688508.SH,18,688508,国家大基金持股;汽车芯片;中芯国际概念;第三代半导体;芯片概念;数据中心;专精特新;2025年报预增;无人机;人形机器人;人工智能;机器人概念;DeepSeek概念;高压快充;充电桩;智能电网;沪股通;融资融券
33,300478.SZ,2,300478,核电;股权转让(并购重组)
151,920125.BJ,8,920125,消费电子概念;PCB概念;芯片概念;新能源汽车;先进封装;储能;新股与次新股;融资融券
17,603045.SH,19,603045,汽车电子;5G;数据中心;比亚迪概念;BC电池;新能源汽车;智能电网;HJT电池;TOPCON电池;智能家居;工业互联网;充电桩;高铁;储能;2025年报预增;金属回收;黄金概念;股权转让(并购重组);融资融券
17,601126.SH,24,601126,柔性直流输电;特高压;智能电网;数据中心;电力物联网;核电;抽水蓄能;东数西算(算力);军工;虚拟电厂;光伏概念;风电;储能;机器人概念;阿里巴巴概念;数字孪生;雅下水电概念;人工智能;DeepSeek概念;氢能源;绿色电力;京津冀一体化;融资融券;沪股通
33,000949.SZ,3,000949,国企改革;新疆振兴;深股通
17,688143.SH,12,688143,光纤概念;共封装光学(CPO);芯片概念;特高压;汽车热管理;商业航天;专精特新;海工装备;军工;DeepSeek概念;沪股通;融资融券
33,002637.SZ,6,002637,消毒剂;回购增持再贷款概念;污水处理;一带一路;食品安全;深股通
33,003026.SZ,5,003026,芯片概念;汽车电子;2025年报预增;传感器;硅能源
33,301317.SZ,11,301317,数据中心;空气能热泵;专精特新;新能源汽车;2025年报预增;人工智能;污水处理;中俄贸易概念;共同富裕示范区;深股通;融资融券
17,600601.SH,11,600601,PCB概念;5G;共封装光学(CPO);华为概念;2025年报预增;东数西算(算力);智慧城市;网络游戏;国企改革;融资融券;沪股通
33,300310.SZ,22,300310,5G;信创;物联网;智慧灯杆;车联网(车路协同);AIGC概念;华为概念;数据中心;AI智能体;工业互联网;低空经济;共封装光学(CPO);机器人概念;算力租赁;DeepSeek概念;粤港澳大湾区;充电桩;光伏概念;创投;储能;深股通;融资融券
33,002545.SZ,8,002545,化肥;一带一路;风电;2025年报预增;特高压;深股通;智能电网;融资融券
17,688159.SH,29,688159,算力租赁;云计算;信创;智慧政务;东数西算(算力);存储芯片;阿里巴巴概念;AI智能体;数据要素;鸿蒙概念;星闪概念;车联网(车路协同);数据中心;物联网;华为概念;智慧城市;人工智能;5G;电力物联网;低空经济;无人机;专精特新;机器人概念;粤港澳大湾区;比亚迪概念;智能电网;水利;沪股通;融资融券
33,300215.SZ,5,300215,柔性直流输电;特高压;智能电网;核电;储能
17,603777.SH,6,603777,腾讯概念;人工智能;智能物流;IP经济(谷子经济);白酒概念;融资融券
33,300267.SZ,15,300267,合成生物;仿制药一致性评价;幽门螺杆菌概念;维生素;医药电商;流感;消毒剂;医疗器械概念;智能医疗;锂电池概念;人工智能;AI应用;小金属概念;深股通;融资融券
17,688800.SH,27,688800,6G概念;铜缆高速连接;5G;液冷服务器;毫米波雷达;数据中心;卫星导航;商业航天;高压快充;专精特新;比亚迪概念;军工;人形机器人;特斯拉概念;光伏概念;充电桩;换电概念;2025年报预增;机器人概念;新能源汽车;军民融合;低空经济;储能;飞行汽车(eVTOL);医疗器械概念;沪股通;融资融券
33,301357.SZ,11,301357,军民融合;军工信息化;军工;西部大开发;无人机;专精特新;卫星导航;低空经济;飞行汽车(eVTOL);深股通;融资融券
33,002831.SZ,7,002831,液冷服务器;机器人概念;可降解塑料;宠物经济;深股通;高股息精选;融资融券
17,600032.SH,8,600032,抽水蓄能;绿色电力;风电;氢能源;储能;国企改革;沪股通;融资融券
17,688096.SH,8,688096,人工智能;污水处理;超导概念;云计算;DeepSeek概念;东数西算(算力);算力租赁;融资融券
17,688383.SH,11,688383,MicroLED概念;MiniLED;先进封装;芯片概念;人形机器人;商业航天;机器人概念;华为概念;锂电池概念;沪股通;融资融券
33,300880.SZ,11,300880,电力物联网;智能电网;虚拟电厂;高压快充;充电桩;物联网;储能;鸿蒙概念;传感器;专精特新;融资融券
17,600192.SH,11,600192,智能电网;风电;充电桩;核电;光伏概念;西部大开发;军工;国企改革;燃料电池;商业航天;融资融券
151,920086.BJ,7,920086,华为汽车;新能源汽车;比亚迪概念;华为概念;专精特新;新股与次新股;融资融券
17,603126.SH,18,603126,光热发电;光伏建筑一体化;生物质能发电;绿色电力;储能;固废处理;碳交易;建筑节能;碳中和;雄安新区;工业互联网;京津冀一体化;一带一路;2025年报预增;央企国企改革;国企改革;中字头股票;融资融券
17,605068.SH,7,605068,华为汽车;人形机器人;长安汽车概念;机器人概念;新能源汽车;比亚迪概念;回购增持再贷款概念
33,002903.SZ,17,002903,富士康概念;苹果概念;工业母机;消费电子概念;芯片概念;第三代半导体;军工;新型工业化;比亚迪概念;同花顺新质50;减速器;专精特新;小米概念;新能源汽车;华为概念;机器人概念;融资融券
17,601958.SH,7,601958,小金属概念;军工;西部大开发;OLED;国企改革;沪股通;融资融券
33,300295.SZ,10,300295,租售同权;养老概念;文化传媒概念;人工智能;数据要素;AI应用;互联网金融;DeepSeek概念;AI智能体;ST板块
17,600184.SH,15,600184,光纤概念;共封装光学(CPO);国产航母;军民融合;军工;机器视觉;AI眼镜;专精特新;人形机器人;机器人概念;央企国企改革;回购增持再贷款概念;国企改革;沪股通;融资融券
17,688498.SH,9,688498,共封装光学(CPO);光纤概念;5G;汽车芯片;芯片概念;数据中心;西部大开发;沪股通;融资融券
17,688256.SH,12,688256,中国AI 50;汽车芯片;先进封装;芯片概念;同花顺新质50;东数西算(算力);阿里巴巴概念;数据中心;国产操作系统;人工智能;沪股通;融资融券
33,301373.SZ,3,301373,光伏概念;专精特新;融资融券
17,605098.SH,6,605098,高股息精选;在线教育;AI应用;职业教育;DeepSeek概念;沪股通
33,300317.SZ,11,300317,虚拟电厂;光伏建筑一体化;绿色电力;风电;光伏概念;华为概念;储能;粤港澳大湾区;国企改革;OLED;锂电池概念
33,002896.SZ,9,002896,减速器;人形机器人;新型工业化;机器人概念;新能源汽车;共同富裕示范区;长三角一体化;融资融券;深股通
17,600698.SH,9,600698,兵装重组概念;央企国企改革;国企改革;高铁;长安汽车概念;汽车热管理;新能源汽车;融资融券;沪股通
33,301150.SZ,10,301150,PET铜箔;固态电池;宁德时代概念;锂电池概念;PCB概念;比亚迪概念;储能;专精特新;深股通;融资融券
17,688332.SH,19,688332,星闪概念;语音技术;智能音箱;物联网;AI眼镜;专精特新;智能穿戴;芯片概念;人工智能;小米概念;百度概念;2025年报预增;无线耳机;抖音概念(字节概念);消费电子概念;独角兽概念;共封装光学(CPO);沪股通;融资融券
17,688272.SH,12,688272,卫星导航;量子科技;军民融合;军工;无人机;机器视觉;车联网(车路协同);专精特新;芯片概念;无人驾驶;机器人概念;融资融券
33,300062.SZ,14,300062,智能电网;充电桩;绿色电力;高压快充;储能;光伏概念;高铁;锂电池概念;海峡两岸;福建自贸区;宁德时代概念;机器人概念;一带一路;新能源汽车
151,920118.BJ,8,920118,储能;柔性直流输电;智能电网;新能源汽车;光伏概念;工业互联网;专精特新;融资融券
17,600769.SH,1,600769,国企改革
33,002897.SZ,24,002897,共封装光学(CPO);6G概念;F5G概念;华为海思概念股;铜缆高速连接;富士康概念;5G;数据中心;消费电子概念;智能穿戴;华为概念;无人驾驶;小米概念;新型烟草(电子烟);光伏概念;比亚迪概念;新能源汽车;2025年报预增;华为汽车;长安汽车概念;海峡两岸;人民币贬值受益;深股通;融资融券
