股票代码,market_code,code,所属概念,所属概念数量
002611.SZ,33,002611,人形机器人;新型工业化;机器人概念;3D打印;工业互联网;高端装备;智能物流;物联网;无人机;华为概念;军工;粤港澳大湾区;毫米波雷达;人民币贬值受益;人工智能;数字经济;水利;核电;英伟达概念;可控核聚变;一带一路;多模态AI;牙科医疗;深股通;融资融券,25
603655.SH,17,603655,新能源汽车;2025年报预增,2
000722.SZ,33,000722,绿色电力;碳交易;国企改革;水利;供销社;股权转让(并购重组);深股通;融资融券,8
300316.SZ,33,300316,BC电池;TOPCON电池;光伏概念;第三代半导体;培育钻石;先进封装;芯片概念;新型工业化;AI眼镜;消费电子概念;存储芯片;智能物流;数字经济;深股通;融资融券,15
001301.SZ,33,001301,石墨电极;宁德时代概念;锂电池概念;储能;回购增持再贷款概念;专精特新;京津冀一体化;深股通,8
688655.SH,17,688655,共封装光学(CPO);PCB概念;5G;汽车电子;专精特新;新能源汽车;粤港澳大湾区;医疗器械概念;智能座舱;机器人概念;绿色电力;股权转让(并购重组);融资融券,13
301179.SZ,33,301179,虚拟电厂;电力物联网;智能电网;柔性直流输电;特高压;网络安全;充电桩;数据中心;数据安全;物联网;多模态AI;储能;风电;5G;光伏概念;数字孪生;数字经济;DeepSeek概念;光伏建筑一体化;绿色电力;人工智能;专精特新;无人机;低空经济;新型工业化;机器人概念;AI应用;深股通;融资融券,29
603992.SH,17,603992,C2M概念;智能家居;福建自贸区;人形机器人;人民币贬值受益;机器人概念;沪股通,7
300335.SZ,33,300335,天然气;生物质能发电;生态农业;氢能源;绿色电力;净水概念;空气能热泵;固废处理;雄安新区;PM2.5;家用电器;创投;智能家居;锂电池概念;粤港澳大湾区;光伏概念;物联网;工业互联网;人工智能,19
300037.SZ,33,300037,钠离子电池;氟化工概念;固态电池;宁德时代概念;锂电池概念;超级电容;特斯拉概念;比亚迪概念;OLED;新能源汽车;液冷服务器;先进封装;芯片概念;数据中心;深股通;融资融券,16
603185.SH,17,603185,TOPCON电池;硅能源;光伏概念;第三代半导体;储能;工业母机;高端装备;专精特新;融资融券;沪股通,10
002025.SZ,33,002025,卫星导航;商业航天;大飞机;军工;低空经济;同花顺新质50;5G;铜缆高速连接;数据中心;华为概念;机器视觉;核电;共封装光学(CPO);小米概念;液冷服务器;比亚迪概念;新能源汽车;智能物流;央企国企改革;西部大开发;国企改革;深股通;融资融券,23
600930.SH,17,600930,绿色电力;注册制次新股;国企改革;央企国企改革;风电;核电;一带一路;人工智能;储能;新股与次新股;融资融券,11
002946.SZ,33,002946,乳业;西部大开发;融资融券;深股通,4
688072.SH,17,688072,国家大基金持股;存储芯片;先进封装;芯片概念;沪股通;融资融券,6
600777.SH,22,600777,页岩气;俄乌冲突概念;天然气;ST板块;人民币贬值受益,5
601139.SH,17,601139,天然气;证金持股;POE胶膜;绿色电力;氢能源;国企改革;深圳国企改革;沪股通;融资融券;华为数字能源;燃料电池;固态电池;DeepSeek概念;光伏概念;智慧城市;百度概念;数据中心,17
688585.SH,17,688585,机器人概念;燃料电池;风电;一带一路;沪股通;股权转让(并购重组);融资融券,7
603031.SH,17,603031,共封装光学(CPO);芯片概念;AI PC;储能;固态电池;商业航天;锂电池概念;华为概念;回购增持再贷款概念;股权转让(并购重组);跨境电商;超级品牌;沪股通,13
301200.SZ,33,301200,PCB概念;先进封装;2025年报预增;工业母机;高端装备;深股通;融资融券,7
