market_code,股票代码,code,所属概念数量,所属概念
17,600237.SH,600237,12,柔性直流输电;高压快充;PET铜箔;可控核聚变;华为数字能源;光伏概念;风电;宁德时代概念;新能源汽车;回购增持再贷款概念;国企改革;融资融券
17,600399.SH,600399,9,商业航天;特钢概念;大飞机;航空发动机;军工;核电;回购增持再贷款概念;沪股通;融资融券
33,301338.SZ,301338,25,先进封装;第三代半导体;共封装光学(CPO);富士康概念;PCB概念;苹果概念;MiniLED;工业母机;华为手机;汽车芯片;芯片概念;消费电子概念;锂电池概念;比亚迪概念;小米概念;高端装备;新型工业化;专精特新;2025年报预增;机器视觉;工业互联网;华为概念;军工;深股通;融资融券
33,000826.SZ,000826,22,土壤修复;垃圾分类;碳中和;雄安新区;PPP概念;医疗废物处理;固废处理;新型城镇化;动力电池回收;乡村振兴;地下管网;污水处理;绿色电力;锂电池概念;数字经济;智慧城市;人工智能;新能源汽车;车联网(车路协同);无人驾驶;多模态AI;融资融券
151,920060.BJ,920060,12,一带一路;无人驾驶;毫米波雷达;共封装光学(CPO);充电桩;AI PC;机器人概念;融资融券;消费电子概念;汽车电子;家用电器;PCB概念
17,603269.SH,603269,7,核电;氢能源;超超临界发电;海峡两岸;数据中心;液冷服务器;一带一路
17,688226.SH,688226,14,共封装光学(CPO);特斯拉概念;智能电网;专精特新;数据中心;储能;光伏概念;HJT电池;华为概念;钠离子电池;风电;东数西算(算力);沪股通;融资融券
33,000039.SZ,000039,28,可燃冰;天然气;同花顺出海50;海工装备;氢能源;风电;核电;航运概念;储能;一带一路;雄安新区;商业航天;数据中心;冷链物流;机器人概念;统一大市场;无人驾驶;智能物流;粤港澳大湾区;机器视觉;物联网;参股券商;深股通;融资融券;人工智能;DeepSeek概念;AI应用;智谱AI
17,688191.SH,688191,17,特高压;智能电网;风电;无人机;专精特新;数字孪生;华为昇腾;华为概念;机器视觉;水利;人工智能;DeepSeek概念;鸿蒙概念;AI智能体;多模态AI;沪股通;融资融券
33,300881.SZ,300881,12,超超临界发电;光热发电;特钢概念;氢能源;核电;一体化压铸;新能源汽车;专精特新;比亚迪概念;创投;减速器;融资融券
17,688308.SH,688308,10,PCB概念;光伏概念;工业母机;2025年报预增;专精特新;人形机器人;航空发动机;机器人概念;商业航天;融资融券
33,301373.SZ,301373,3,光伏概念;专精特新;融资融券
33,002541.SZ,002541,7,同花顺中特估100;装配式建筑;PPP概念;光伏概念;机器人概念;融资融券;深股通
33,300044.SZ,300044,25,时空大数据;数据要素;智慧城市;抖音概念(字节概念);手机游戏;人脸识别;网络游戏;车联网(车路协同);人工智能;安防;军民融合;军工;机器视觉;低空经济;无人机;5G;无人驾驶;数据中心;新型工业化;养老概念;机器人概念;粤港澳大湾区;PPP概念;乡村振兴;ST板块
33,300870.SZ,300870,17,液冷服务器;富士康概念;第三代半导体;WiFi 6;数据中心;消费电子概念;华为概念;光伏概念;充电桩;阿里巴巴概念;比亚迪概念;无人机;海峡两岸;一带一路;智能家居;深股通;融资融券
33,300855.SZ,300855,9,航空发动机;大飞机;特钢概念;军民融合;核电;军工;专精特新;融资融券;深股通
