所属概念数量,market_code,code,股票代码,所属概念
10,33,002940,002940.SZ,创新药;仿制药一致性评价;幽门螺杆菌概念;维生素;合成生物;宠物经济;共同富裕示范区;回购增持再贷款概念;MR(混合现实);深股通
6,33,000880,000880.SZ,中国AI 50;数据中心;海工装备;国企改革;融资融券;深股通
10,17,603063,603063.SH,智能电网;抽水蓄能;光伏概念;储能;风电;粤港澳大湾区;海工装备;氢能源;沪股通;融资融券
27,17,603203,603203.SH,共封装光学(CPO);先进封装;富士康概念;PCB概念;苹果概念;OLED;第三代半导体;液冷服务器;汽车电子;存储芯片;芯片概念;AI眼镜;无线耳机;智能穿戴;中芯国际概念;机器视觉;新型工业化;比亚迪概念;华为概念;专精特新;新能源汽车;宁德时代概念;机器人概念;高端装备;工业互联网;人工智能;沪股通
4,17,603790,603790.SH,染料;换电概念;PEEK材料;股权转让(并购重组)
26,17,600482,600482.SH,中船系;国产航母;数据中心;核电;风电;海工装备;燃料电池;储能;军工;核污染防治;石墨烯;新能源汽车;军民融合;DeepSeek概念;长安汽车概念;氢能源;雄安新区;京津冀一体化;央企国企改革;锂电池概念;固态电池;国企改革;钠离子电池;沪股通;融资融券;中字头股票
9,33,002805,002805.SZ,磷化工;钠离子电池;固态电池;锂电池概念;宁德时代概念;比亚迪概念;专精特新;长安汽车概念;融资融券
14,33,002782,002782.SZ,高压快充;5G;充电桩;小米汽车;消费电子概念;储能;新能源汽车;比亚迪概念;华为概念;光伏概念;机器人概念;低空经济;融资融券;深股通
28,17,603936,603936.SH,共封装光学(CPO);PCB概念;6G概念;AI PC;苹果概念;先进封装;液冷服务器;存储芯片;5G;第三代半导体;MiniLED;汽车电子;消费电子概念;EDR概念;数据中心;智能穿戴;卫星导航;比亚迪概念;商业航天;华为概念;无人驾驶;新能源汽车;军工;充电桩;机器人概念;物联网;沪股通;融资融券
17,33,002498,002498.SZ,柔性直流输电;电力物联网;抽水蓄能;特高压;智能电网;风电;核电;充电桩;海工装备;数字经济;无人机;燃料电池;一带一路;氢能源;5G;深股通;融资融券
