所属概念数量,股票代码,所属概念,market_code,code
5,301108.SZ,宠物经济;三胎概念;合成生物;重组蛋白;融资融券,33,301108
16,300471.SZ,中俄贸易概念;共享单车;燃料电池;专精特新;一带一路;氢能源;军工;成飞概念;两轮车;物联网;创投;西部大开发;天然气;页岩气;深股通;融资融券,33,300471
27,002558.SZ,电子竞技;云游戏;手机游戏;网络游戏;AIGC概念;虚拟数字人;旅游概念;AI应用;元宇宙;参股保险;ChatGPT概念;互联网金融;DeepSeek概念;人工智能;创投;AI智能体;鸿蒙概念;语音技术;阿里巴巴概念;腾讯概念;百度概念;虚拟现实;西部大开发;华为概念;2026一季报预增;深股通;融资融券,33,002558
16,002739.SZ,IP经济(谷子经济);文化传媒概念;短剧游戏;网络游戏;手机游戏;京津冀一体化;足球概念;小红书概念;数据确权;鸿蒙概念;腾讯概念;阿里巴巴概念;抖音概念(字节概念);华为概念;深股通;融资融券,33,002739
20,002584.SZ,光刻胶;氟化工概念;芯片概念;消毒剂;磷化工;光伏概念;锂电池概念;PCB概念;专精特新;核污染防治;粤港澳大湾区;食品安全;核电;创投;碳中和;煤化工概念;辅助生殖;重组蛋白;储能;深股通,33,002584
22,300588.SZ,华为鲲鹏;智慧政务;时空大数据;网络安全;信创;数据安全;人脸识别;AI应用;数据要素;安防;智慧城市;数字经济;人工智能;DeepSeek概念;独角兽概念;新疆振兴;机器视觉;西部大开发;专精特新;东数西算(算力);华为概念;股权转让(并购重组),33,300588
25,920375.BJ,数据中心(AIDC);东数西算(算力);阿里巴巴概念;虚拟电厂;高压快充;融资融券;智能电网;碳交易;粤港澳大湾区;百度概念;腾讯概念;数据要素;电力物联网;碳中和;核电;物联网;充电桩;华为鲲鹏;专精特新;建筑节能;储能;人工智能;DeepSeek概念;抖音概念(字节概念);华为概念,151,920375
7,920725.BJ,比亚迪概念;第三代半导体;6G概念;芯片概念;专精特新;融资融券;培育钻石,151,920725
3,300983.SZ,新型城镇化;深股通;融资融券,33,300983
17,600110.SH,PET铜箔;固态电池;PCB概念;锂电池概念;宁德时代概念;粤港澳大湾区;储能;绿色电力;比亚迪概念;核电;军工;新能源汽车;无人机;特斯拉概念;融资融券;股权转让(并购重组);沪股通,17,600110
7,300821.SZ,有机硅概念;硅能源;2026一季报预增;燃料电池;2026中报预增;融资融券;深股通,33,300821
5,920753.BJ,融资融券;国企改革;京津冀一体化;食品安全;创投,151,920753
9,920964.BJ,数字乡村;乡村振兴;股权转让(并购重组);物联网;融资融券;水利;专精特新;农机;国企改革,151,920964
14,300390.SZ,固态电池;小金属概念;2026一季报预增;锂电池概念;宁德时代概念;中芯国际概念;存储芯片;储能;芯片概念;新能源汽车;医疗器械概念;华为概念;融资融券;深股通,33,300390
8,301321.SZ,MiniLED;消费电子概念;OLED;MicroLED概念;汽车电子;华为概念;虚拟现实;融资融券,33,301321
7,920037.BJ,无人机;特高压;智能电网;军工;专精特新;融资融券;中俄贸易概念,151,920037
8,920510.BJ,新型工业化;芯片概念;机器人概念;融资融券;新能源汽车;减速器;专精特新;人形机器人,151,920510
23,301563.SZ,存储芯片;PCB概念;汽车芯片;MCU芯片;芯片概念;汽车电子;传感器;商业航天;2026一季报预增;注册制次新股;专精特新;物联网;机器人概念;工业互联网;AI智能体;数据要素;人工智能;智能物流;DeepSeek概念;2026中报预增;深股通;新股与次新股;融资融券,33,301563
2,002652.SZ,雄安新区;中芯国际概念,33,002652
11,603638.SH,减速器;工业母机;新型工业化;人形机器人;机器人概念;高端装备;雅下水电概念;储能;智能电网;融资融券;沪股通,17,603638
23,002384.SZ,共封装光学(CPO);光纤概念;同花顺果指数;PCB概念;MiniLED;苹果概念;AI手机;芯片概念;5G;消费电子概念;智能穿戴;2026一季报预增;数据中心(AIDC);小米概念;高压快充;华为概念;特斯拉概念;人形机器人;新能源汽车;机器人概念;深股通;人民币贬值受益;融资融券,33,002384
3,301072.SZ,比亚迪概念;新能源汽车;融资融券,33,301072
19,603051.SH,钙钛矿电池;TOPCON电池;HJT电池;BC电池;传感器;光伏概念;比亚迪概念;智能穿戴;商业航天;锂电池概念;人形机器人;固态电池;柔性屏(折叠屏);OLED;POE胶膜;氢能源;水利;光伏建筑一体化;融资融券,17,603051
8,003033.SZ,人形机器人;长安汽车概念;比亚迪概念;机器人概念;农机;数字经济;专精特新;深股通,33,003033
20,002292.SZ,文化传媒概念;虚拟数字人;手机游戏;IP经济(谷子经济);网络游戏;NFT概念;ChatGPT概念;多模态AI;元宇宙;跨境电商;腾讯概念;独角兽概念;人工智能;乡村振兴;三胎概念;虚拟现实;智能穿戴;深股通;融资融券;2026中报预增,33,002292
16,688147.SH,存储芯片;中芯国际概念;先进封装;汽车芯片;第三代半导体;OLED;芯片概念;BC电池;HJT电池;TOPCON电池;钙钛矿电池;专精特新;光伏概念;高端装备;沪股通;融资融券,17,688147
16,688036.SH,语音技术;人工智能;国产操作系统;DeepSeek概念;AI智能体;人民币贬值受益;储能;智能穿戴;AI眼镜;AI手机;MLOps概念;消费电子概念;同花顺漂亮100;AI PC;沪股通;融资融券,17,688036
16,002701.SZ,啤酒概念;预制菜;冰雪产业;工业大麻;体育产业;足球概念;京津冀一体化;一带一路;虚拟数字人;人工智能;锂电池概念;储能;新能源汽车;深股通;融资融券;股权转让(并购重组),33,002701
31,002429.SZ,光纤概念;共封装光学(CPO);F5G概念;第三代半导体;WiFi 6;PCB概念;MicroLED概念;富士康概念;先进封装;MiniLED;汽车芯片;5G;芯片概念;消费电子概念;小米概念;数据中心(AIDC);智能音箱;粤港澳大湾区;深圳国企改革;智能家居;人民币贬值受益;抖音概念(字节概念);阿里巴巴概念;拼多多概念;鸿蒙概念;AIGC概念;深股通;融资融券;AI应用;国企改革;短剧游戏,33,002429
7,688820.SH,存储芯片;科创次新股;先进封装;芯片概念;注册制次新股;新股与次新股;融资融券,17,688820
7,603661.SH,培育钻石;芯片概念;智能家居;人民币贬值受益;一带一路;跨境电商;沪股通,17,603661
22,600990.SH,军工信息化;军民融合;大飞机;国产航母;军工;低空经济;卫星导航;商业航天;安防;核电;水利;DeepSeek概念;量子科技;可控核聚变;央企国企改革;新能源汽车;比亚迪概念;国企改革;毫米波雷达;PCB概念;沪股通;融资融券,17,600990
10,002323.SZ,数字乡村;绿色电力;光伏建筑一体化;国企改革;ST板块;智慧城市;一带一路;储能;光伏概念;HJT电池,33,002323
11,603538.SH,减肥药;CRO概念;流感;肝炎概念;宠物经济;合成生物;辅助生殖;人民币贬值受益;机器人概念;沪股通;融资融券,17,603538
8,002084.SZ,空气能热泵;一带一路;智能物流;人民币贬值受益;智能家居;海峡两岸;物联网;3D打印,33,002084
12,688005.SH,钠离子电池;动力电池回收;固态电池;锂电池概念;宁德时代概念;金属钴;储能;小金属概念;新能源汽车;低空经济;沪股通;融资融券,17,688005
7,603815.SH,新型城镇化;地下管网;乡村振兴;PPP概念;水利;一带一路;沪股通,17,603815
3,603578.SH,共同富裕示范区;专精特新;光伏概念,17,603578
32,001339.SZ,算力租赁;东数西算(算力);数据安全;云办公;人脸识别;网络安全;信创;智慧城市;中国AI 50;鸿蒙概念;英伟达概念;安防;ETC;物联网;在线教育;AI PC;机器视觉;车联网(车路协同);人工智能;DeepSeek概念;专精特新;新型工业化;5G;工业互联网;粤港澳大湾区;消费电子概念;机器人概念;芯片概念;智能医疗;智能座舱;人形机器人;深股通,33,001339
8,688622.SH,ST板块;量子科技;碳中和;食品安全;PM2.5;医疗器械概念;粤港澳大湾区;专精特新,22,688622
16,688608.SH,智能音箱;星闪概念;智能穿戴;AI眼镜;无线耳机;小米概念;语音技术;消费电子概念;芯片概念;华为概念;中国AI 50;阿里巴巴概念;人工智能;人民币贬值受益;融资融券;沪股通,17,688608
18,603906.SH,磷化工;钠离子电池;动力电池回收;固态电池;锂电池概念;宁德时代概念;燃料电池;氢能源;储能;一带一路;数字经济;无人机;比亚迪概念;新能源汽车;数据中心(AIDC);液冷服务器;融资融券;沪股通,17,603906
8,688126.SH,国家大基金持股;中芯国际概念;存储芯片;芯片概念;人民币贬值受益;股权转让(并购重组);沪股通;融资融券,17,688126
7,600076.SH,土地流转;乡村振兴;国企改革;碳中和;芯片概念;碳交易;融资融券,17,600076
4,301138.SZ,机器人概念;机器视觉;人工智能;融资融券,33,301138
