股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code
002058.SZ,*ST威尔,24.68,5.02127659574468,涨停,1,0, 13:00:24, 14:49:12,固态电池+铝塑膜+汽车检具,,,,33,002058
603130.SH,云中马,63.93,9.996558843771512,涨停,1,0, 14:05:17, 14:22:53,增资智造+革基布龙头+定增扩产,,,,17,603130
002721.SZ,金一文化,3.61,10.0609756097561,涨停,1,0, 09:59:39, 09:59:39,黄金+AI金融+海淀国资,,,,33,002721
600307.SH,酒钢宏兴,2.07,10.106382978723401,涨停,1,0, 13:51:55, 13:51:55,钢铁+甘肃国资+可控核聚变,,,,17,600307
603212.SH,赛伍技术,16.24,10.0271002710027,涨停,1,0, 09:35:00, 09:35:00,钙钛矿电池+半导体材料+AI新材料,,,,17,603212
688323.SH,瑞华泰,25.91,20.00926354793886,涨停,1,0, 10:09:45, 10:09:45,商业航天+PI薄膜+国产替代,,,,17,688323
605598.SH,上海港湾,65.8,9.99665663657639,涨停,1,0, 09:42:12, 09:55:39,商业航天+钙钛矿电池+一带一路,,,,17,605598
603843.SH,*ST正平,5.96,4.929577464788737,涨停,2,0, 09:25:01, 09:38:10,智算服务+有色金属+基建转型,,,,22,603843
603138.SH,海量数据,17.94,9.993868792152071,涨停,1,0, 14:41:04, 14:41:04,国产数据库+AI向量+信创,,,,17,603138
003038.SZ,鑫铂股份,18.81,9.999999999999982,涨停,1,0, 13:01:00, 13:01:00,人形机器人+光伏概念+飞行汽车+铝型材,,,,33,003038
000821.SZ,ST京机,12.56,5.0167224080267525,涨停,1,0, 11:15:21, 11:17:30,钙钛矿设备+光伏装备,,,,33,000821
002780.SZ,三夫户外,16.72,9.999999999999996,涨停,1,0, 14:54:42, 14:54:42,宇航服+冰雪产业+露营经济+X-BIONIC,,,,33,002780
000603.SZ,盛达资源,51.5,9.995728321230244,涨停,1,0, 13:19:27, 13:51:18,黄金+白银+并购扩张,,,,33,000603
300436.SZ,广生堂,96.28,20.00498566620964,涨停,1,0, 10:12:21, 10:21:51,乙肝创新药+国家专项+III期临床,,,,33,300436
001223.SZ,欧克科技,62.08,9.992912827781716,涨停,1,0, 13:07:45, 13:07:45,固态电池+PI薄膜+锂电设备,,,,33,001223
000591.SZ,太阳能,5.69,10.058027079303683,涨停,1,0, 09:42:30, 09:42:30,补贴到账+光伏电站+央企,,,,33,000591
301232.SZ,飞沃科技,224.92,20.002134130075216,涨停,1,0, 10:03:54, 10:39:27,商业航天+风电紧固件+扭亏为盈,,,,33,301232
003041.SZ,真爱美家,63.26,9.998261171970093,涨停,1,0, 11:08:24, 11:08:24,股权转让+AI智能体+毛毯龙头,,,,33,003041
