name,code,open,涨停价,跌停价
森特股份,603098,14.05,15.44,12.64
ST新动力,300152,2.17,2.59,1.73
比音勒芬,2832,15.09,16.61,13.59
北大荒,600598,15.03,16.6,13.58
宜安科技,300328,17.22,20.68,13.78
新里程,2219,2.15,2.37,1.94
通程控股,419,6.45,7.1,5.81
力芯微,688601,43.54,51.59,34.39
铂科新材,300811,72.0,86.38,57.58
晶晨股份,688099,88.88,105.66,70.44
华峰测控,688200,194.19,230.39,153.59
纽威股份,603699,52.61,57.71,47.21
川能动力,155,11.74,12.94,10.58
安乃达,603350,38.33,42.3,34.61
重庆建工,600939,3.2,3.52,2.88
天利科技,300399,25.52,30.71,20.47
佳禾食品,605300,11.72,12.88,10.54
润和软件,300339,50.11,59.96,39.98
龙蟠科技,603906,20.13,22.22,18.18
东星医疗,301290,25.21,30.61,20.41
神州数码,34,39.28,43.21,35.35
山东海化,822,5.32,5.83,4.77
三峡新材,600293,3.19,3.5,2.86
浩通科技,301026,28.66,34.33,22.89
国电南自,600268,10.63,11.64,9.52
天奈科技,688116,47.47,57.12,38.08
品渥食品,300892,30.6,36.79,24.53
苏豪汇鸿,600981,3.19,3.49,2.85
三维化学,2469,8.45,9.27,7.59
万祥科技,301180,16.86,20.23,13.49
天和磁材,603072,41.0,45.19,36.97
宁波方正,300998,22.37,26.54,17.7
郑州煤电,600121,4.21,4.63,3.79
药石科技,300725,38.96,46.72,31.14
恺英网络,2517,22.1,24.29,19.87
阿拉丁,688179,12.58,15.13,10.09
常铝股份,2160,5.28,5.78,4.73
永杉锂业,603399,10.52,11.54,9.44
泸天化,912,4.19,4.61,3.77
柏楚电子,688188,137.6,164.64,109.76
博济医药,300404,9.42,11.3,7.54
禾川科技,688320,37.7,45.22,30.14
中辰股份,300933,8.36,10.04,6.7
东方电热,300217,5.24,6.28,4.18
贵州轮胎,589,5.24,5.75,4.71
熊猫乳品,300898,27.14,32.63,21.75
丽臣实业,1218,22.9,25.3,20.7
健帆生物,300529,19.92,23.83,15.89
陕西能源,1286,9.4,10.34,8.46
日月明,300906,35.3,42.58,28.38
天富能源,600509,8.37,9.17,7.51
