股票代码,股票简称,最高价,收盘价,涨跌幅,成交额,涨停价,跌停价
600460,士兰微,29.86,29.82,0.81,1413605270.11,32.54,26.62
600207,安彩高科,5.01,4.97,0.81,147208876.75,5.42,4.44
688621,阳光诺和,79.99,78.3,0.81,418072154.88,93.2,62.14
600076,康欣新材,3.83,3.73,0.81,224168798.43,4.07,3.33
002917,金奥博,13.7,13.68,0.81,85382940.0,14.93,12.21
002166,莱茵生物,8.79,8.72,0.81,181048380.0,9.52,7.79
600400,红豆股份,2.51,2.5,0.81,145988931.14,2.73,2.23
600988,赤峰黄金,31.97,31.28,0.81,2012369851.76,34.13,27.93
600726,华电能源,2.51,2.51,0.8,94130818.6,2.74,2.24
002818,富森美,11.3,11.3,0.8,39167173.0,12.33,10.09
600876,凯盛新能,10.17,10.1,0.8,50463572.0,11.02,9.02
600621,华鑫股份,16.44,16.43,0.8,635505699.86,17.93,14.67
601368,绿城水务,5.07,5.06,0.8,44612229.0,5.52,4.52
002613,北玻股份,3.82,3.81,0.79,62122111.0,4.16,3.4
002763,汇洁股份,7.65,7.63,0.79,99362817.0,8.33,6.81
000868,安凯客车,5.09,5.09,0.79,82727799.0,5.56,4.55
301170,锡南科技,29.35,29.3,0.79,40978751.0,34.88,23.26
601728,中国电信,6.42,6.37,0.79,1403346598.13,6.95,5.69
000541,佛山照明,6.4,6.37,0.79,148554370.0,6.95,5.69
601003,柳钢股份,5.12,5.1,0.79,99552898.81,5.57,4.55
000010,美丽生态,3.92,3.83,0.79,164194130.0,4.18,3.42
002048,宁波华翔,31.32,30.66,0.79,949946480.0,33.46,27.38
601866,中远海发,2.57,2.56,0.79,289607862.16,2.79,2.29
002982,湘佳股份,14.1,14.09,0.79,45976546.0,15.38,12.58
002030,达安基因,6.49,6.41,0.79,156847830.0,7.0,5.72
003023,彩虹集团,23.4,23.13,0.78,83708931.0,25.25,20.66
603178,圣龙股份,19.4,19.31,0.78,112553645.4,21.08,17.24
601816,京沪高铁,5.17,5.15,0.78,741367587.67,5.62,4.6
600996,贵广网络,10.4,10.3,0.78,411646072.63,11.24,9.2
603658,安图生物,37.61,37.39,0.78,166460639.06,40.81,33.39
000050,深天马A,10.39,10.33,0.78,1221003830.0,11.28,9.23
300971,博亚精工,26.1,25.86,0.78,145736190.0,30.79,20.53
