code,所属概念,market_code,所属概念数量,股票代码
300030,医疗器械概念;细胞免疫治疗;智能医疗;家庭医生;横琴新区;PPP概念;人工智能;数据要素;DeepSeek概念;粤港澳大湾区;云计算;国企改革,33,12,300030.SZ
301577,富士康概念;5G;专精特新;WiFi 6;海峡两岸;数据中心;小米概念;充电桩;无人驾驶;新能源汽车;比亚迪概念;高压快充;数字货币;融资融券,33,14,301577.SZ
688809,科创次新股;存储芯片;芯片概念;华为概念;注册制次新股;2025年报预增;长三角一体化;新股与次新股;融资融券,17,9,688809.SH
688511,军民融合;军工;军工信息化;商业航天;专精特新;锂电池概念;人工智能;西部大开发;融资融券;摘帽,17,10,688511.SH
688279,芯片概念;新能源汽车;机器人概念;沪股通;融资融券,17,5,688279.SH
688172,国家大基金持股;MCU芯片;第三代半导体;芯片概念;传感器;国企改革;沪股通;融资融券,17,8,688172.SH
300018,柔性直流输电;特高压;智能电网;电力物联网;抽水蓄能;核电;专精特新;基因测序;2025年报预增;医疗器械概念;血氧仪;水利;智能医疗;家庭医生;融资融券,33,15,300018.SZ
920207,乡村振兴;数字乡村;AI应用;AI智能体;虚拟现实;融资融券;空间计算;虚拟数字人;职业教育;智能医疗;数字经济;华为概念;智慧城市;芯片概念;智慧政务;元宇宙;多模态AI;网络安全;数字孪生;信创;数据要素;数据中心;数据安全;华为鲲鹏;鸿蒙概念;华为昇腾;人工智能;东数西算(算力);DeepSeek概念;云计算;AIGC概念;专精特新,151,32,920207.BJ
300981,宠物经济;医疗器械概念;智能医疗;核污染防治;国企改革;人民币贬值受益;专精特新;融资融券;深股通,33,9,300981.SZ
002429,MicroLED概念;MiniLED;WiFi 6;共封装光学(CPO);F5G概念;第三代半导体;富士康概念;5G;拼多多概念;光纤概念;短剧游戏;汽车芯片;先进封装;抖音概念(字节概念);AIGC概念;智能音箱;阿里巴巴概念;PCB概念;芯片概念;AI应用;消费电子概念;小米概念;数据中心;鸿蒙概念;智能家居;粤港澳大湾区;人民币贬值受益;深圳国企改革;国企改革;深股通;融资融券,33,31,002429.SZ
600816,信托概念;参股银行;融资融券;沪股通,17,4,600816.SH
000938,6G概念;WiFi 6;算力租赁;中国AI 50;东数西算(算力);国产操作系统;共封装光学(CPO);英伟达概念;网络安全;国资云;数据中心;液冷服务器;数据安全;5G;云计算;智慧政务;车联网(车路协同);阿里巴巴概念;抖音概念(字节概念);芯片概念;物联网;智慧城市;AI智能体;数据要素;数字孪生;数字乡村;AIGC概念;DeepSeek概念;人工智能;机器人概念;储能;AI应用;深股通;融资融券,33,34,000938.SZ
688062,重组蛋白;创新药;智能医疗;回购增持再贷款概念;沪股通;融资融券,17,6,688062.SH
688138,中芯国际概念;OLED;第三代半导体;芯片概念;专精特新;虚拟现实;沪股通;融资融券,17,8,688138.SH
300518,锂电池概念;西部大开发;网红经济;氢能源;网络游戏;手机游戏;融资融券,33,7,300518.SZ
688028,培育钻石;OLED;工业母机;核电;芯片概念;新能源汽车;人形机器人;沪股通;融资融券,17,9,688028.SH
688307,光刻机;机器视觉;智能穿戴;智能座舱;专精特新;无人驾驶;无人机;海峡两岸;虚拟现实;华为概念;机器人概念;安防;人工智能;融资融券,17,14,688307.SH
301611,存储芯片;光刻机;OLED;第三代半导体;芯片概念;专精特新;燃料电池;锂电池概念;医疗器械概念;深股通;融资融券,33,11,301611.SZ
601869,光纤概念;铜缆高速连接;共封装光学(CPO);特高压;太赫兹;第三代半导体;5G;海工装备;智能电网;风电;新能源汽车;一带一路;芯片概念;专精特新;量子科技;人形机器人;沪股通;机器人概念;工业互联网;创投;抖音概念(字节概念);融资融券,17,22,601869.SH
