market_code,所属概念,股票代码,code,所属概念数量
151,光纤概念;海工装备;军工;金属铜;风电;融资融券;特高压;核电;光伏概念;充电桩;专精特新,920682.BJ,920682,11
17,MiniLED;先进封装;芯片概念;人形机器人;华为概念;机器人概念;商业航天;锂电池概念;沪股通;融资融券,688383.SH,688383,10
17,俄乌冲突概念;天然气;新疆振兴;沪股通;一带一路;海工装备;回购增持再贷款概念;机器人概念;融资融券,603619.SH,603619,9
151,创新药;融资融券;CRO概念,920478.BJ,920478,3
17,创新药;仿制药一致性评价;智能医疗;西部大开发;沪股通;融资融券,688513.SH,688513,6
33,新型工业化;机器人概念;专精特新;无人机;消费电子概念;固态电池;锂电池概念;PET铜箔;可降解塑料,001223.SZ,001223,9
151,流感;减肥药;仿制药一致性评价;创新药;融资融券,920735.BJ,920735,5
33,阿尔茨海默概念;仿制药一致性评价;细胞免疫治疗;创新药;CRO概念;幽门螺杆菌概念;专精特新;深股通;融资融券,002675.SZ,002675,9
33,页岩气;天然气;摘帽;深股通;氢能源;国企改革;海工装备;股权转让(并购重组),002490.SZ,002490,8
33,光纤概念;太赫兹;5G;数据中心;液冷服务器;智慧灯杆;储能;数字孪生;物联网;粤港澳大湾区;锂电池概念,300565.SZ,300565,11
33,商业航天;卫星导航;可控核聚变;军工;核电;海工装备;特高压;高端装备;人形机器人;高铁;机器人概念;工业互联网;水利;充电桩;光伏概念;新能源汽车;风电;比亚迪概念;专精特新;国企改革;新疆振兴;深股通,001208.SZ,001208,22
33,太赫兹;军工信息化;卫星导航;商业航天;6G概念;军民融合;军工;无人机;低空经济;华为概念;无人驾驶;家用电器;国企改革;深股通;融资融券,300342.SZ,300342,15
33,机器人概念;智能家居;比亚迪概念;工业互联网;新能源汽车;汽车电子;光伏概念;国企改革;金属回收;深股通,002676.SZ,002676,10
17,禽流感;猴痘概念;流感;肝炎概念;幽门螺杆菌概念;创新药;医疗器械概念;食品安全;回购增持再贷款概念;专精特新;融资融券,688317.SH,688317,11
151,2025年报预增;军工;新能源汽车;飞行汽车(eVTOL);低空经济;农机;融资融券;比亚迪概念;长安汽车概念,920106.BJ,920106,9
33,细胞免疫治疗;辅助生殖;创新药;仿制药一致性评价;肝炎概念;幽门螺杆菌概念;眼科医疗;医药电商;医疗器械概念;西部大开发;国企改革;知识产权保护;融资融券,300006.SZ,300006,13
17,流感;医药电商,600613.SH,600613,2
151,宠物经济;融资融券,920656.BJ,920656,2
151,专精特新;合成生物;融资融券,920547.BJ,920547,3
17,水利;海工装备;核电;特高压;充电桩;高铁;风电;一带一路;军工;光伏概念;专精特新;储能;新能源汽车;西部大开发;锂电池概念;氟化工概念;沪股通;股权转让(并购重组),603333.SH,603333,18
151,锂电池概念;专精特新;融资融券;国企改革,920946.BJ,920946,4
33,俄乌冲突概念;页岩气;天然气;新疆振兴;西部大开发;国企改革,002207.SZ,002207,6
33,BC电池;钙钛矿电池;TOPCON电池;光伏建筑一体化;光伏概念;国企改革;虚拟电厂;华为概念;AI智能体;深股通;融资融券,300393.SZ,300393,11
151,重组蛋白;细胞免疫治疗;肝炎概念;三胎概念;京津冀一体化;专精特新;创新药;融资融券,920344.BJ,920344,8
33,金属回收;金属锌;土壤修复;小金属概念;ST板块;固废处理;污水处理;PPP概念;雄安新区;黑龙江自贸区;水利;一带一路;乡村振兴;无人机;物联网,000711.SZ,000711,15
17,专精特新;京津冀一体化;融资融券,688485.SH,688485,3
33,云办公;华为鲲鹏;数据安全;网络安全;智慧政务;电子身份证;信创;财税数字化;数字乡村;数据要素;百度概念;DRG/DIP;区块链;智慧城市;东数西算(算力);数字经济;互联网金融;数字孪生;人工智能;物联网;华为概念;家庭医生;智能医疗;数据中心;军工;食品安全;工业互联网;机器视觉;芯片概念;AI应用,300730.SZ,300730,30
151,液冷服务器;换电概念;算力租赁;天然气;氢能源;融资融券;储能;东数西算(算力);西部大开发;锂电池概念;数据中心,920010.BJ,920010,11
33,ST板块;横琴新区;医美概念;医疗器械概念;幽门螺杆菌概念;仿制药一致性评价;肝炎概念;创新药;新疆振兴;东数西算(算力);股权转让(并购重组),002898.SZ,002898,11
17,俄乌冲突概念;天然气;海南自贸区;土地流转;融资融券;一带一路;人民币贬值受益;沪股通,600759.SH,600759,8
33,光纤概念;F5G概念;成飞概念;共封装光学(CPO);6G概念;军工信息化;卫星导航;军工;大飞机;5G;高铁;无人机;数据中心;低空经济;智慧灯杆;特高压;东数西算(算力);算力租赁;国资云;深圳国企改革;华为概念;智慧城市;传感器;一带一路;信创;腾讯概念;抖音概念(字节概念);人工智能;阿里巴巴概念;百度概念;创投;智能电网;光伏概念;粤港澳大湾区;国企改革;绿色电力;物业管理;深股通;摘帽,000070.SZ,000070,39
33,专精特新,001226.SZ,001226,1
33,特色小镇;三胎概念;文化传媒概念;IP经济(谷子经济);旅游概念;职业教育;在线教育;数字经济;人工智能;粤港澳大湾区;国企改革;深股通,002678.SZ,002678,12
33,钒电池;国企改革;氢能源;污水处理;固态电池;深股通;融资融券,000822.SZ,000822,7
17,航运概念;中字头股票;高股息精选;自由贸易港;沪股通;回购增持再贷款概念;国企改革;央企国企改革;人民币贬值受益;粤港澳大湾区;比亚迪概念;DeepSeek概念;融资融券,600428.SH,600428,13
33,PEEK材料;汽车热管理;华为汽车;新能源汽车;比亚迪概念;专精特新;燃料电池;车联网(车路协同);氢能源;医疗器械概念;深股通;融资融券,301225.SZ,301225,12
22,ST板块;国企改革,600608.SH,600608,2
22,ST板块;白酒概念;西部大开发,600381.SH,600381,3
17,猪肉;预制菜;乡村振兴;西部大开发;回购增持再贷款概念;沪股通,605296.SH,605296,6
33,仿制药一致性评价;肝炎概念;医药电商;猴痘概念;医美概念;医疗器械概念;国企改革;融资融券,300110.SZ,300110,8
17,C2M概念;人形机器人;智能家居;人民币贬值受益;养老概念;机器人概念;福建自贸区;2026一季报预增;沪股通,603992.SH,603992,9
33,俄乌冲突概念;天然气;央企国企改革;国企改革;氢能源;融资融券;充电桩,000554.SZ,000554,7
33,传感器;比亚迪概念;飞行汽车(eVTOL);华为汽车;新能源汽车;芯片概念;汽车热管理;低空经济;高压快充;股权转让(并购重组);深股通;融资融券,300507.SZ,300507,12
33,流感;创新药;医药电商;仿制药一致性评价;维生素;医疗器械概念;冷链物流;粤港澳大湾区;深股通;融资融券,000078.SZ,000078,10
17,染料;代糖概念;维生素,603968.SH,603968,3
33,创新药;仿制药一致性评价;幽门螺杆菌概念;合成生物;宠物经济;维生素;共同富裕示范区;MR(混合现实);回购增持再贷款概念;深股通,002940.SZ,002940,10
151,融资融券;宠物经济;合成生物,920275.BJ,920275,3
17,新型烟草(电子烟);烟草;PVDF概念;PET铜箔;比亚迪概念;创投;医疗器械概念;宁德时代概念;固态电池;锂电池概念;钠离子电池;国企改革;沪股通;融资融券;股权转让(并购重组),601515.SH,601515,15
33,福建自贸区;海峡两岸;旅游概念;乡村振兴;民营医院;化肥;深股通;融资融券;合成生物,000592.SZ,000592,9
33,养鸡;乡村振兴;西部大开发;2025年报预增;绿色电力;融资融券,300967.SZ,300967,6
17,科创次新股;CRO概念;AI智能体;智能医疗;基因测序;2025年报预增;人民币贬值受益;注册制次新股;沪股通;新股与次新股;融资融券,688796.SH,688796,11
17,光纤概念;存储芯片;芯片概念;有机硅概念;海峡两岸;光伏概念;硅能源;京津冀一体化;沪股通;融资融券,603938.SH,603938,10
151,西部大开发;仿制药一致性评价;流感;创新药;融资融券;农业种植;乡村振兴,920566.BJ,920566,7
33,页岩气;俄乌冲突概念;天然气;净水概念;PPP概念;污水处理;京津冀一体化;创投;融资融券;深股通,300332.SZ,300332,10
33,流感;注册制次新股;医疗器械概念;智能医疗;国企改革;机器人概念;深股通;新股与次新股;融资融券,301584.SZ,301584,9
17,共封装光学(CPO);F5G概念;光纤概念;5G;芯片概念;数据中心;专精特新;2025年报预增;沪股通;融资融券,688313.SH,688313,10
33,猪肉;生态农业;同花顺漂亮100;宠物经济;深股通;融资融券,002311.SZ,002311,6
33,WiFi 6;先进封装;6G概念;无线耳机;芯片概念;消费电子概念;5G;智能穿戴;卫星导航;小米概念;商业航天;虚拟现实;物联网;智能家居;人民币贬值受益;同花顺漂亮100;融资融券;深股通,300782.SZ,300782,18
33,ST板块;深圳国企改革;国企改革;智慧灯杆;国资云;智能医疗;人民币贬值受益;智慧城市;数字经济;数字孪生;安防;智能家居;人工智能;物联网;军民融合;数据要素;区块链;智慧政务;华为概念;机器视觉;东数西算(算力);人脸识别;信创;华为鲲鹏;5G,002528.SZ,002528,25
