code,所属概念,所属概念数量,market_code,股票代码
603088,液冷服务器;工业母机;汽车热管理;芯片概念;小米概念;比亚迪概念;特斯拉概念;新型工业化;新能源汽车;高端装备;专精特新;宁德时代概念;机器人概念;空气能热泵;锂电池概念;动力电池回收;氢能源;国企改革;沪股通;融资融券,20,17,603088.SH
603897,新能源汽车;一带一路;比亚迪概念;工业互联网;机器人概念;沪股通;融资融券,7,17,603897.SH
000990,POE胶膜;NMN概念;人造肉;氢能源;国企改革;碳中和;工业大麻;合成生物;燃料电池;民营医院;医美概念;OLED;小米概念;深股通;煤化工概念;融资融券,16,33,000990.SZ
603912,液冷服务器;数据中心;5G;东数西算(算力);算力租赁;华为概念;专精特新;腾讯概念;阿里巴巴概念;抖音概念(字节概念);百度概念;DeepSeek概念,12,17,603912.SH
603489,共享单车;传感器;专精特新;无人机;两轮车;锂电池概念;融资融券;沪股通,8,17,603489.SH
000020,粤港澳大湾区;物业管理,2,33,000020.SZ
600513,禽流感;流感;仿制药一致性评价;创新药;国企改革;专精特新;沪股通;股权转让(并购重组),8,17,600513.SH
603311,PM2.5;家用电器;人民币贬值受益;大飞机;新能源汽车;专精特新;回购增持再贷款概念,7,17,603311.SH
002565,商业航天;卫星导航;东数西算(算力);土壤修复;新型烟草(电子烟);一带一路;生态农业;回购增持再贷款概念;工业大麻;跨境电商;深股通;融资融券,12,33,002565.SZ
600590,太赫兹;电力物联网;智能电网;国产航母;数据中心;光伏概念;6G概念;卫星导航;军工;军民融合;无人机;军工信息化;华为概念;低空经济;碳纤维;储能;机器人概念;虚拟现实;燃料电池;腾讯概念;AI智能体;区块链;氢能源;创投;一带一路;智能医疗;IP经济(谷子经济);沪股通;融资融券,29,17,600590.SH
000601,生物质能发电;抽水蓄能;绿色电力;充电桩;储能;东数西算(算力);数据中心;回购增持再贷款概念;长安汽车概念;新能源汽车;比亚迪概念;减速器;深股通;融资融券,14,33,000601.SZ
603803,F5G概念;共封装光学(CPO);WiFi 6;5G;6G概念;芯片概念;新型工业化;新型城镇化;量子科技;无人驾驶;物联网;数据中心;工业互联网;智慧城市;车联网(车路协同);东数西算(算力);网络安全;智能电网;数据安全;融资融券,20,17,603803.SH
603387,流感;肝炎概念;猴痘概念;幽门螺杆菌概念;宠物经济;医疗器械概念;创投;沪股通;融资融券,9,17,603387.SH
600666,算力租赁;数据确权;云计算;东数西算(算力);AIGC概念;AI智能体;数据要素;Sora概念(文生视频);蚂蚁集团概念;DeepSeek概念;人工智能;OLED;高端装备;比亚迪概念;黑龙江自贸区;新疆振兴;沪股通,17,17,600666.SH
688818,科创次新股;卫星导航;商业航天;军工;无人机;注册制次新股;机器人概念;光伏概念;储能;固态电池;锂电池概念;钠离子电池;燃料电池;央企国企改革;国企改革;智能电网;新股与次新股;融资融券,18,17,688818.SH
301165,共封装光学(CPO);液冷服务器;中国AI 50;WiFi 6;5G;6G概念;数据中心;东数西算(算力);国资云;云办公;抖音概念(字节概念);网络安全;腾讯概念;阿里巴巴概念;小米概念;快手概念;信创;新型工业化;百度概念;AI智能体;蚂蚁集团概念;工业互联网;AIGC概念;人工智能;智能医疗;数字经济;AI应用;一带一路;国企改革;深股通;融资融券,31,33,301165.SZ
688525,存储芯片;国家大基金持股;汽车芯片;先进封装;AI PC;AI手机;芯片概念;AI眼镜;2025年报预增;消费电子概念;智能穿戴;小米概念;数据中心;专精特新;机器人概念;华为概念;粤港澳大湾区;信创;阿里巴巴概念;沪股通;融资融券,21,17,688525.SH
601872,天然气;俄乌冲突概念;航运概念;央企国企改革;上海自贸区;一带一路;回购增持再贷款概念;融资融券;国企改革;海峡两岸;沪股通,11,17,601872.SH
300017,算力租赁;云计算;华为鲲鹏;数据安全;多模态AI;虚拟数字人;AIGC概念;网络安全;信创;东数西算(算力);AI智能体;在线教育;元宇宙;DeepSeek概念;数字经济;数据中心;人工智能;液冷服务器;阿尔茨海默概念;一带一路;人民币贬值受益;深股通;融资融券,23,33,300017.SZ
300738,智谱AI;算力租赁;快手概念;云计算;东数西算(算力);网络安全;腾讯概念;阿里巴巴概念;百度概念;数据要素;数据中心;DeepSeek概念;人工智能;华为概念;芯片概念;粤港澳大湾区;光伏概念;绿色电力;一带一路;融资融券;深股通,21,33,300738.SZ
688166,细胞免疫治疗;减肥药;重组蛋白;创新药;仿制药一致性评价;合成生物;流感;创投;沪股通;融资融券,10,17,688166.SH
301629,存储芯片;芯片概念;注册制次新股;专精特新;比亚迪概念;机器视觉;华为概念;深股通;新股与次新股;融资融券,10,33,301629.SZ
301005,航空发动机;商业航天;大飞机;卫星导航;军工;无人机;低空经济;飞行汽车(eVTOL);PEEK材料;换电概念;人形机器人;机器人概念;专精特新;华为汽车;汽车热管理;小米汽车;特斯拉概念;比亚迪概念;小米概念;创投;新能源汽车;智能物流;氢能源;家用电器;深股通;融资融券,26,33,301005.SZ
300857,英伟达概念;EDR概念;存储芯片;智能音箱;云游戏;AI眼镜;算力租赁;共封装光学(CPO);东数西算(算力);芯片概念;智能穿戴;云计算;消费电子概念;小米概念;数据中心;AI智能体;汽车电子;腾讯概念;车联网(车路协同);人脸识别;AIGC概念;安防;2025年报预增;物联网;人形机器人;人工智能;短剧游戏;DeepSeek概念;机器人概念;AI应用;网络游戏;智能家居;粤港澳大湾区;人民币贬值受益;家用电器;净水概念;跨境电商;融资融券;深股通,39,33,300857.SZ
000534,航空发动机;大飞机;军工;无人机;低空经济;创新药;深股通;融资融券,8,33,000534.SZ
