所属概念,code,所属概念数量,market_code,股票代码
富士康概念;芯片概念;5G;液冷服务器;小米汽车;比亚迪概念;新能源汽车;特斯拉概念;充电桩;专精特新;减速器;东数西算(算力);华为汽车;华为概念;长安汽车概念;工业互联网;无人驾驶;储能;一体化压铸;固态电池;绿色电力;西部大开发;深股通;融资融券,301307,24,33,301307.SZ
海工装备;天然气;参股银行;新股与次新股;融资融券,920188,5,151,920188.BJ
飞行汽车(eVTOL);高铁;长安汽车概念;融资融券;航空发动机;海工装备;比亚迪概念;机器人概念;有机硅概念;无人驾驶;新能源汽车;成飞概念;大飞机;军工;人形机器人;低空经济;专精特新;京津冀一体化;PEEK材料,920247,19,151,920247.BJ
PCB概念;PET铜箔;光刻胶;苹果概念;OLED;柔性屏(折叠屏);消费电子概念;芯片概念;2025年报预增;新能源汽车;光伏概念;燃料电池;军工;BC电池;商业航天;特高压;氢能源;西部大开发;沪股通;融资融券,601208,20,17,601208.SH
钠离子电池;固态电池;宁德时代概念;锂电池概念;专精特新;低空经济;氢能源;福建自贸区;国企改革;融资融券;沪股通,688778,11,17,688778.SH
固态电池;宁德时代概念;2025年报预增;专精特新;锂电池概念;新型工业化;新能源汽车;高端装备;机器人概念;燃料电池;人工智能;DeepSeek概念;一带一路;沪股通;融资融券,688155,15,17,688155.SH
汽车电子;人形机器人;传感器;特斯拉概念;工业母机;机器人概念;比亚迪概念;新能源汽车;一体化压铸;沪股通,605133,10,17,605133.SH
TOPCON电池;HJT电池;光伏建筑一体化;光伏概念;储能;垃圾分类;军民融合;共同富裕示范区;新能源汽车;无人机;比亚迪概念;家用电器;传感器;ETC;5G;融资融券,002860,16,33,002860.SZ
东数西算(算力);液冷服务器;数据中心;华为盘古;腾讯概念;抖音概念(字节概念);阿里巴巴概念;华为概念;百度概念;专精特新;高铁;储能;锂电池概念;钠离子电池;融资融券,301157,15,33,301157.SZ
特斯拉概念;新能源汽车;机器人概念;军工;家用电器;医药电商;国企改革,300626,7,33,300626.SZ
